Season	Date	Winner	Score [C ]	Venue	Competition round
1951	2 September 1951	Alianza Lima	4–3	Stadium Nacional	Liga Prof. de Lima
1951	11 November 1951	Universitario	2–0	Stadium Nacional	Liga Prof. de Lima
1952	14 September 1952	Universitario	2–1	Stadium Nacional	Liga Prof. de Lima
1952	30 November 1952	Alianza Lima	2–3	Estadio Nacional	Liga Prof. de Lima
1953	30 August 1953	Universitario	4–2	Estadio Nacional	Liga Prof. de Lima
1953	15 November 1953	Universitario	3–2	Estadio Nacional	Liga Prof. de Lima
1954	3 October 1954	Draw	3–3	Estadio Nacional	Liga Prof. de Lima
1954	3 January 1955	Alianza Lima	3–2	Estadio Nacional	Liga Prof. de Lima
1955	14 August 1955	Draw	1–1	Estadio Nacional	Liga Prof. de Lima
1955	6 November 1955	Alianza Lima	3–1	Estadio Nacional	Liga Prof. de Lima
1955	27 May 1956	Alianza Lima	1–2	Estadio Nacional	Liga Prof. de Lima play-off
1956	9 September 1956	Draw	3–3	Estadio Nacional	Liga Prof. de Lima
1956	10 November 1956	Alianza Lima	3–2	Estadio Nacional	Liga Prof. de Lima
1957	24 August 1957	Draw	1–1	Estadio Nacional	Liga Prof. de Lima
1957	27 October 1957	Draw	3–3	Estadio Nacional	Liga Prof. de Lima
1957	15 December 1957	Draw	0–0	Estadio Nacional	Liga Prof. de Lima Liguilla
1958	3 August 1958	Draw	1–1	Estadio Nacional	Liga Prof. de Lima
1958	5 October 1958	Draw	0–0	Estadio Nacional	Liga Prof. de Lima
1959	21 June 1959	Universitario	6–2	Estadio Nacional	Liga Prof. de Lima
1959	6 September 1959	Universitario	3–2	Estadio Nacional	Liga Prof. de Lima
1959	15 November 1959	Universitario	4–0	Estadio Nacional	Liga Prof. de Lima
1960	9 October 1960	Alianza Lima	1–0	Estadio Nacional	Liga Prof. de Lima
1960	4 December 1960	Universitario	2–1	Estadio Nacional	Liga Prof. de Lima
1961	15 October 1961	Draw	1–1	Estadio Nacional	Liga Prof. de Lima
1961	1 January 1962	Draw	1–1	Estadio Nacional	Liga Prof. de Lima
1962	28 October 1962	Alianza Lima	4–2	Estadio Nacional	Liga Prof. de Lima
1962	23 December 1962	Alianza Lima	5–0	Estadio Nacional	Liga Prof. de Lima
1963	2 September 1963	Alianza Lima	3–1	Estadio Nacional	Liga Prof. de Lima
1963	17 November 1963	Universitario	2–1	Estadio Nacional	Liga Prof. de Lima
1964	13 September 1964	Universitario	1–0	Estadio Nacional	Liga Prof. de Lima
1964	15 November 1964	Universitario	3–0	Estadio Nacional	Liga Prof. de Lima
1964	3 January 1965	Universitario	2–1	Estadio Nacional	Liga Prof. de Lima Liguilla
1965	19 September 1965	Draw	2–2	Estadio Nacional	Liga Prof. de Lima
1965	21 November 1965	Alianza Lima	1–0	Estadio Nacional	Liga Prof. de Lima
1965	19 December 1965	Universitario	1–0	Estadio Nacional	Liga Prof. de Lima Liguilla
