Rider	Manufacturer	Laps	Time/Retired	Grid
Álvaro Bautista	Aprilia	21	40:18.605	1
Alex de Angelis	Aprilia	21	+0.087	5
Héctor Barberá	Aprilia	21	+7.665	6
Andrea Dovizioso	Honda	21	+7.751	2
Thomas Lüthi	Aprilia	21	+27.267	4
Shuhei Aoyama	Honda	21	+27.522	3
Julián Simón	Honda	21	+27.774	10
Jorge Lorenzo	Aprilia	21	+32.238	20
Marco Simoncelli	Gilera	21	+51.455	13
Anthony West	Aprilia	21	+1:04.308	9
Yuki Takahashi	Honda	21	+1:04.318	27
Aleix Espargaró	Aprilia	21	+1:04.462	21
Fabrizio Lai	Aprilia	21	+1:04.556	26
Alex Baldolini	Aprilia	21	+1:04.570	12
Taro Sekiguchi	Aprilia	21	+1:05.162	24
Karel Abrahám	Aprilia	21	+1:10.583	14
Dirk Heidolf	Aprilia	21	+1:10.587	16
Roberto Locatelli	Gilera	21	+1:20.650	15
Jules Cluzel	Honda	21	+1:20.921	18
Eugene Laverty	Honda	21	+1:21.282	25
Hiroshi Aoyama	KTM	21	+1:46.776	7
Imre Tóth	Aprilia	21	+1:54.965	11
Arturo Tizón	Aprilia	20	+1 Lap	23
Thomas Tallevi	Yamaha	20	+1 Lap	22
Omar Menghi	Aprilia	19	Retirement	17
Mika Kallio	KTM	2	Retirement	8
Ratthapark Wilairot	Honda	0	Retirement	19
