Season	Series	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2001	Formula BMW Junior Cup Iberia	3	0	0	0	0	38	18th
2002	Formula BMW ADAC	20	9	5	1	13	264	1st
2003	Formula 3 Euro Series	20	1	1	2	5	45	8th
2003	Masters of Formula 3	1	0	0	0	0	N/A	NC
2003	Macau Grand Prix	1	0	0	0	0	N/A	NC
2003	Korea Super Prix	1	0	0	0	0	N/A	11th
2004	Formula 3 Euro Series	19	3	2	2	5	70	4th
2004	Macau Grand Prix	1	0	0	0	0	N/A	NC
2004	Masters of Formula 3	1	0	0	0	0	N/A	6th
2004	Bahrain Superprix	1	0	0	0	1	N/A	2nd
2005	GP2 Series	23	5	4	5	12	120	1st
2005	Formula One	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver
2006	Formula One	18	0	0	1	0	4	17th
2007	Formula One	17	0	0	0	0	20	9th
2008	Formula One	18	0	0	0	2	17	13th
2009	Formula One	17	0	0	1	0	34.5	7th
2010	Formula One	19	0	0	0	3	142	7th
2011	Formula One	19	0	0	0	0	89	7th
2012	Formula One	20	1	1	2	2	93	9th
2013	Formula One	16	2	3	0	3	144*	6th*
