Driver	Constructor	Laps	Time/Retired	Grid
Jackie Stewart	Matra - Ford	68	1:39:11.26	3
Jochen Rindt	Lotus - Ford	68	+ 0.08	1
Jean-Pierre Beltoise	Matra - Ford	68	+ 0.17	6
Bruce McLaren	McLaren - Ford	68	+ 0.19	5
Piers Courage	Brabham - Ford	68	+ 33.44	4
Pedro Rodríguez	Ferrari	66	+ 2 Laps	12
Denny Hulme	McLaren - Ford	66	+ 2 Laps	2
Jo Siffert	Lotus - Ford	64	Engine	8
Graham Hill	Lotus - Ford	63	Halfshaft	9
Jacky Ickx	Brabham - Ford	61	Out of Fuel	15
John Surtees	BRM	60	Not Classified	10
Jackie Oliver	BRM	48	Oil Pressure	11
Silvio Moser	Brabham - Ford	9	Fuel Leak	13
Jack Brabham	Brabham - Ford	6	Oil Leak	7
John Miles	Lotus - Ford	3	Engine	14
