Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
4	November 2	@ Cleveland	W 100–88 (OT)	Marvin Williams (22)	Al Horford (12)	Joe Johnson (9)	Quicken Loans Arena 20,562	4–0
5	November 3	Detroit	W 94–85 (OT)	Josh Smith (22)	Josh Smith (11)	Joe Johnson (8)	Philips Arena 13,003	5–0
6	November 5	@ Minnesota	W 113–103 (OT)	Josh Smith , Jamal Crawford (20)	Al Horford (12)	Josh Smith (6)	Target Center 17,222	6–0
7	November 7	Phoenix	L 114–118 (OT)	Joe Johnson (34)	Al Horford (10)	Joe Johnson (6)	Philips Arena 13,395	6–1
8	November 8	@ Orlando	L 89–93 (OT)	Joe Johnson (23)	Josh Smith (13)	Josh Smith (6)	Amway Center 18,846	6–2
9	November 10	Milwaukee	L 91–108 (OT)	Zaza Pachulia (16)	Josh Smith (8)	Jamal Crawford (5)	Philips Arena 11,211	6–3
10	November 12	Utah	L 86–90 (OT)	Joe Johnson (23)	Josh Smith (13)	Al Horford , Josh Smith (5)	Philips Arena 17,069	6–4
11	November 14	Minnesota	W 111–105 (OT)	Al Horford (28)	Al Horford , Josh Smith (10)	Joe Johnson (5)	Philips Arena 12,027	7–4
12	November 16	@ Indiana	W 102–92 (OT)	Josh Smith (25)	Josh Smith (8)	Mike Bibby (7)	Conseco Fieldhouse 11,133	8–4
13	November 20	Dallas	L 93–98 (OT)	Josh Smith (21)	Al Horford (20)	Jamal Crawford (7)	Philips Arena 14,143	8–5
14	November 22	Boston	L 76–99 (OT)	Mike Bibby (11)	Jordan Crawford (7)	Jamal Crawford (6)	Philips Arena 14,476	8–6
15	November 23	@ New Jersey	L 101–107 (OT)	Jamal Crawford (21)	Al Horford (10)	Joe Johnson (8)	Prudential Center 13,010	8–7
16	November 25	Washington	W 116–96 (OT)	Joe Johnson (21)	Josh Smith (14)	Mike Bibby (6)	Philips Arena 15,042	9–7
17	November 27	@ New York	W 99–90 (OT)	Jamal Crawford (21)	Joe Johnson (10)	Joe Johnson (7)	Madison Square Garden 19,763	10–7
