Date	Visitor	Score	Home	Record
October 9	Chicago Black Hawks	1–2	Detroit Red Wings	0–1–0
October 13	Atlanta Flames	4–3	Chicago Black Hawks	0–2–0
October 16	Boston Bruins	0-4	Chicago Black Hawks	1–2-0
October 17	Chicago Black Hawks	3–4	Washington Capitals	1–3–0
October 19	Chicago Black Hawks	3–1	St. Louis Blues	2–3–0
October 20	Minnesota North Stars	0–6	Chicago Black Hawks	3–3–0
October 23	Washington Capitals	2–3	Chicago Black Hawks	4–3–0
October 26	Chicago Black Hawks	9–3	Toronto Maple Leafs	5–3–0
October 27	St. Louis Blues	3–10	Chicago Black Hawks	6–3–0
October 30	Chicago Black Hawks	4–4	Montreal Canadiens	6–3–1
November 2	Chicago Black Hawks	4–3	Kansas City Scouts	7–3–1
November 3	Pittsburgh Penguins	3–3	Chicago Black Hawks	7–3–2
November 6	Chicago Black Hawks	4–6	Buffalo Sabres	7–4–2
November 8	Chicago Black Hawks	0-2	Atlanta Flames	7–5–2
November 12	Chicago Black Hawks	0–1	Vancouver Canucks	7-6–2
November 13	Chicago Black Hawks	0–2	California Golden Seals	7–7–2
November 16	Chicago Black Hawks	2–1	Los Angeles Kings	8-7–2
November 20	New York Islanders	4-4	Chicago Black Hawks	8–7–3
November 23	Kansas City Scouts	0-6	Chicago Black Hawks	9–7–3
November 27	Buffalo Sabres	3–1	Chicago Black Hawks	9–8–3
November 30	Chicago Black Hawks	3–5	Minnesota North Stars	9–9–3
December 1	Minnesota North Stars	0–3	Chicago Black Hawks	10–9–3
December 4	Kansas City Scouts	3-7	Chicago Black Hawks	11–9–3
December 5	Chicago Black Hawks	2–3	Philadelphia Flyers	11–10–3
December 7	New York Rangers	7–4	Chicago Black Hawks	11–11–3
December 8	Toronto Maple Leafs	4-1	Chicago Black Hawks	11–12–3
December 11	Chicago Black Hawks	5-2	Atlanta Flames	12–12–3
December 14	Chicago Black Hawks	3-6	Pittsburgh Penguins	12–13–3
December 15	Vancouver Canucks	2–4	Chicago Black Hawks	13–13–3
December 18	Detroit Red Wings	5–7	Chicago Black Hawks	14–13–3
December 21	Chicago Black Hawks	3–3	New York Islanders	14–13–4
December 22	Toronto Maple Leafs	0–3	Chicago Black Hawks	15–13–4
December 26	Chicago Black Hawks	1–3	Buffalo Sabres	15–14–4
December 28	Philadelphia Flyers	1–2	Chicago Black Hawks	16–14–4
December 29	St. Louis Blues	2-5	Chicago Black Hawks	17–14–4
December 31	Los Angeles Kings	3-1	Chicago Black Hawks	17–15–4
January 1	Chicago Black Hawks	2–6	New York Rangers	17–16–4
January 4	Chicago Black Hawks	3–6	Toronto Maple Leafs	17–17–4
January 5	Montreal Canadiens	6–4	Chicago Black Hawks	17–18–4
January 8	Pittsburgh Penguins	5–7	Chicago Black Hawks	18–18–4
January 11	Chicago Black Hawks	1–5	Boston Bruins	18–19–4
January 12	New York Rangers	2-4	Chicago Black Hawks	19-19–4
January 15	Vancouver Canucks	1–2	Chicago Black Hawks	20–19–4
January 18	Chicago Black Hawks	1–4	Kansas City Scouts	20-20–4
January 19	California Golden Seals	1–3	Chicago Black Hawks	21–20–4
January 23	New York Islanders	1-3	Chicago Black Hawks	22–20–4
January 25	Chicago Black Hawks	4–1	St. Louis Blues	23–20–4
January 26	California Golden Seals	2–3	Chicago Black Hawks	24–20–4
January 29	Chicago Black Hawks	1–6	Pittsburgh Penguins	24–21–4
February 1	New York Rangers	4–1	Chicago Black Hawks	24–22–4
February 2	New York Islanders	1–1	Chicago Black Hawks	24–22–5
February 4	Chicago Black Hawks	3–3	Kansas City Scouts	24–22–6
February 5	Chicago Black Hawks	2–1	Minnesota North Stars	25–22–6
February 7	Chicago Black Hawks	1–3	Vancouver Canucks	25–23–6
February 9	Los Angeles Kings	2-1	Chicago Black Hawks	25–24–6
February 12	Boston Bruins	3–8	Chicago Black Hawks	26–24–6
February 13	Chicago Black Hawks	1–4	Philadelphia Flyers	26–25–6
February 15	Chicago Black Hawks	3–12	Montreal Canadiens	26–26–6
February 16	Montreal Canadiens	6–3	Chicago Black Hawks	26–27–6
February 19	Chicago Black Hawks	2–2	New York Rangers	26–27–7
February 22	Washington Capitals	3–10	Chicago Black Hawks	27–27–7
February 23	Atlanta Flames	0–4	Chicago Black Hawks	28–27–7
February 25	Chicago Black Hawks	6–2	Washington Capitals	29–27–7
February 28	Chicago Black Hawks	4–3	Atlanta Flames	30–27–7
March 2	Chicago Black Hawks	2-6	Boston Bruins	30–28–7
March 5	Chicago Black Hawks	4–2	California Golden Seals	31–28–7
March 7	Chicago Black Hawks	1–2	Vancouver Canucks	31-29–7
March 8	Chicago Black Hawks	6–1	Los Angeles Kings	32–29–7
March 12	St. Louis Blues	4–3	Chicago Black Hawks	32–30–7
March 15	Chicago Black Hawks	5–2	Minnesota North Stars	33–30–7
March 16	Vancouver Canucks	4–3	Chicago Black Hawks	33–31–7
March 20	Chicago Black Hawks	6–2	Detroit Red Wings	34–31-7
March 22	Chicago Black Hawks	2–4	New York Islanders	34–32–7
March 23	Detroit Red Wings	4–4	Chicago Black Hawks	34–32–8
March 26	Buffalo Sabres	1–5	Chicago Black Hawks	35–32–8
March 29	Philadelphia Flyers	5–2	Chicago Black Hawks	35–33–8
March 30	Chicago Black Hawks	1–4	Philadelphia Flyers	35–34–8
April 3	Kansas City Scouts	4–6	Chicago Black Hawks	36-34–8
April 5	Chicago Black Hawks	3–4	St. Louis Blues	36–35–8
April 6	Minnesota North Stars	0–3	Chicago Black Hawks	37-35–8
