Player	Nationality	Position	Years for Grizzlies	School/Club Team
Brian Cardinal Category:Articles with hCards	United States	Forward	2004-2008	Purdue
Rodney Carney Category:Articles with hCards	United States	Forward	2011	Memphis
Antoine Carr Category:Articles with hCards	United States	Forward / Center	1999-2000	Wichita State
DeMarre Carroll Category:Articles with hCards	United States	Forward	2009-2012	Missouri
Pete Chilcutt Category:Articles with hCards	United States	Power forward	1996-1999	North Carolina
Jason Collins Category:Articles with hCards	United States	Center	2008	Stanford
Mike Conley, Jr. Category:Articles with hCards	United States	Point guard	2007–present	Ohio State
Will Conroy Category:Articles with hCards	United States	Guard	2007	Washington
Javaris Crittenton Category:Articles with hCards	United States	Point guard	2008	Georgia Tech
Dante Cunningham Category:Articles with hCards	United States	Forward	2011-2012	Villanova
