Election	Leader	# of candidates	# of seats to be won	# of seats won	# of total votes	% of popular vote
1962	Tommy Douglas	218	265	19	1044754	13.57%
1963	Tommy Douglas	232	265	17	1044701	13.24%
1965	Tommy Douglas	255	265	21	1381658	17.91%
1968	Tommy Douglas	263	264	22	1378263	16.96%
1972	David Lewis	252	264	31	1725719	17.83%
1974	David Lewis	262	264	16	1467748	15.44%
1979	Ed Broadbent	282	282	26	2048988	17.88%
1980	Ed Broadbent	280	282	32	2150368	19.67%
1984	Ed Broadbent	282	282	30	2359915	18.81%
1988	Ed Broadbent	295	295	43	2685263	20.38%
1993	Audrey McLaughlin	294	295	9	933688	6.88%
1997	Alexa McDonough	301	301	21	1434509	11.05%
2000	Alexa McDonough	298	301	13	1093748	8.51%
2004	Jack Layton	308	308	19	2116536	15.68%
2006	Jack Layton	308	308	29	2589597	17.48%
2008	Jack Layton	308	308	37	2517075	18.13%
