Date	Visitor	Score	Home	Attendance	Record	Points
November 2	Pittsburgh	2–3	Los Angeles	6,602	1–5–2	4
November 3	Pittsburgh	3–1	Oakland	2,166	2–5–2	6
November 6	St. Louis	3–1	Pittsburgh	8,526	2–6–2	6
November 7	Pittsburgh	4–5	Montreal	16,704	2–7–2	6
November 9	Philadelphia	3–0	Pittsburgh	7,284	2–8–2	6
November 13	Pittsburgh	5–6	Chicago	16,666	2–9–2	6
November 14	Chicago	6–4	Pittsburgh	5,386	2–10–2	6
November 16	NY Rangers	2–1	Pittsburgh	7,062	2–11–2	6
November 20	Pittsburgh	2–5	Toronto	16,356	2–12–2	6
November 21	Oakland	1–3	Pittsburgh	3,506	3–12–2	8
November 23	Los Angeles	2–2	Pittsburgh	6,242	3–12–3	9
November 27	Toronto	3–3	Pittsburgh	7,107	3–12–4	10
November 28	Pittsburgh	3–2	Chicago	16,666	4–12–4	12
November 30	Pittsburgh	4–2	Los Angeles	7,243	5–12–4	14
