Tie no	Home team	Score	Away team	Date
1	Darlington	1–0	Frickley Athletic	8 December 1984
2	Dartford	1–1	Bournemouth	8 December 1984
Replay	Bournemouth	4–1	Dartford	11 December 1984
3	Bristol City	1–3	Bristol Rovers	8 December 1984
4	Burnley	3–1	Halifax Town	8 December 1984
5	Preston North End	1–4	Telford United	8 December 1984
6	Reading	6–2	Bognor Regis Town	8 December 1984
7	Walsall	1–0	Chesterfield	8 December 1984
8	Tranmere Rovers	0–3	Hull City	8 December 1984
9	Brentford	2–2	Northampton Town	8 December 1984
Replay	Northampton Town	0–2	Brentford	17 December 1984
10	Plymouth Argyle	0–0	Hereford United	8 December 1984
Replay	Hereford United	2–0	Plymouth Argyle	12 December 1984
11	Bradford City	2–1	Mansfield Town	8 December 1984
12	Millwall	1–0	Enfield	8 December 1984
13	Altrincham	1–3	Doncaster Rovers	8 December 1984
14	Port Vale	4–1	Scunthorpe United	7 December 1984
15	Aldershot	0–2	Burton Albion	8 December 1984
16	Wigan Athletic	2–1	Northwich Victoria	8 December 1984
17	Colchester United	0–5	Gillingham	8 December 1984
18	Dagenham	1–0	Peterborough United	8 December 1984
19	Orient	3–0	Torquay United	8 December 1984
20	Hartlepool United	0–2	York City	8 December 1984
