Heat	Lane	Name	Country	Mark
1	6	Sean Wroe	Australia	47.23 PB
1	5	Richard Buck	United Kingdom	47.54
1	4	Greg Nixon	United States	47.64
1	2	Mark Ujakpor	Spain	47.94
1	3	Yoann Décimus	France	DNS
2	4	Nery Brenes	Costa Rica	46.45 NR
2	6	Chris Lloyd	Dominica	46.79
2	3	Denis Alekseyev	Russia	47.07
2	5	Steven Green	United Kingdom	47.44
2	2	Arismendy Peguero	Dominican Republic	47.45
3	6	Tyler Christopher	Canada	47.06
3	2	California Molefe	Botswana	47.22
3	5	Michael Mathieu	Bahamas	47.34
3	3	Clemens Zeller	Austria	47.34
3	4	Nelton Ndebele	Zimbabwe	DNS
4	5	Maksim Dyldin	Russia	46.96
4	6	David Neville	United States	47.43
4	3	Edino Steele	Jamaica	47.51
4	4	Andrés Silva	Uruguay	47.54 SB
4	1	Carlos Santa	Dominican Republic	48.10
4	2	Dalibor Spasovski	Macedonia	DNF
5	5	Johan Wissman	Sweden	46.12 PB
5	6	Chris Brown	Bahamas	46.47
5	4	DeWayne Barrett	Jamaica	47.02
5	1	Mamoudou Hanne	Mali	48.44
5	3	Alleyne Francique	Grenada	48.64
5	2	Takeshi Fujiwara	El Salvador	48.82 NR
