Rnd	Date	Race Name	Length	Track	Location	Pole Position	Winning Driver
1	March 14	Jimmy Bryan 150	mi (km)	Phoenix International Raceway	Avondale , Arizona	Al Unser	Bobby Unser
2	May 2	Trenton 200	mi (km)	Trenton International Speedway	Trenton , New Jersey	A. J. Foyt	Johnny Rutherford
3	May 30	International 500 Mile Sweepstakes	mi (km)	Indianapolis Motor Speedway	Speedway , Indiana	Johnny Rutherford	Johnny Rutherford
4	June 13	Rex Mays Classic	mi (km)	Wisconsin State Fair Park Speedway	West Allis , Wisconsin	Gordon Johncock	Mike Mosley
5	June 27	Schaefer 500	mi (km)	Pocono International Raceway	Long Pond , Pennsylvania	Johnny Parsons	Al Unser
6	July 18	Norton Twin 200s	mi (km)	Michigan International Speedway	Brooklyn , Michigan	A. J. Foyt	Gordon Johncock
7	August 1	Texas 150	mi (km)	Texas World Speedway	College Station , Texas	A. J. Foyt	A. J. Foyt
8	August 15	Trenton 200	mi (km)	Trenton International Speedway	Trenton , New Jersey	A. J. Foyt	Gordon Johncock
9	August 22	Tony Bettenhausen 200	mi (km)	Wisconsin State Fair Park Speedway	West Allis , Wisconsin	Johnny Rutherford	Al Unser
10	September 5	California 500	mi (km)	Ontario Motor Speedway	Ontario , California	A. J. Foyt	Bobby Unser
11	September 18	Michigan 150	mi (km)	Michigan International Speedway	Brooklyn , Michigan	A. J. Foyt	A. J. Foyt
12	October 31	Benihana World Series of Auto Racing	mi (km)	Texas World Speedway	College Station , Texas	A. J. Foyt	Johnny Rutherford
