Outcome	Date	Tournament	Surface	Opponent	Score
Winner	20 August 1990	Schenectady	Hard	Marianne Werdel	6–1, 5–7, 6–4
Runner-up	24 September 1990	Bayonne	Hard (I)	Nathalie Tauziat	3–6, 6–7(8)
Winner	14 October 1991	Filderstadt	Carpet (I)	Martina Navratilova	2–6, 6–2, 7–6(4)
Runner-up	11 January 1993	Sydney	Hard	Jennifer Capriati	1–6, 4–6
Winner	12 July 1993	Kitzbühel	Clay	Judith Wiesner	6–4, 6–1
Runner-up	18 October 1993	Brighton	Carpet (I)	Jana Novotná	2–6, 4–6
Winner	25 July 1994	Styria	Clay	Judith Wiesner	6–3, 6–3
Winner	10 October 1994	Filderstadt	Hard (I)	Mary Pierce	6–4, 6–2
Winner	7 November 1994	Philadelphia	Carpet (I)	Mary Pierce	6–0, 6–7(4), 7–5
Winner	25 September 1995	Leipzig	Carpet (I)	Magdalena Maleeva	w/o
Runner-up	13 November 1995	WTA Tour Championships	Carpet (I)	Steffi Graf	1–6, 6–2, 1–6, 6–4, 3–6
Runner-up	15 January 1996	Australian Open	Hard	Monica Seles	4–6, 1–6
Winner	17 June 1996	's-Hertogenbosch	Grass	Helena Suková	6–4, 7–6(2)
Runner-up	12 August 1996	Los Angeles	Hard	Lindsay Davenport	2–6, 3–6
Winner	30 September 1996	Leipzig	Carpet (I)	Iva Majoli	5–7, 6–3, 6–1
Runner-up	7 October 1996	Filderstadt	Hard (I)	Martina Hingis	2–6, 6–3, 3–6
Winner	21 October 1996	Luxembourg	Carpet (I)	Karina Habšudová	6–3, 6–0
Runner-up	10 February 1997	Paris	Carpet (I)	Martina Hingis	3–6, 6–3, 3–6
Runner-up	11 August 1997	Toronto	Hard	Monica Seles	2–6, 4–6
Winner	10 April 2000	Estoril	Clay	Nathalie Dechy	6–2, 1–6, 7–5
Winner	17 July 2000	Sopot	Clay	Gala León García	7–6(4), 6–3
Runner-up	5 February 2001	Paris	Carpet (I)	Amélie Mauresmo	6–7(2), 1–6
Runner-up	21 May 2001	Strasbourg	Clay	Silvia Farina Elia	5–7, 6–0, 4–6
