Title	Author	First Issue	Last Issue	Completed?
Bamboo Blade	Masahiro Totsuka (author), Aguri Igarashi (artist)	August 2008	May 2009	No
Black Butler	Yana Toboso	August 2009	July 2010	No
Higurashi When They Cry	Ryukishi07 (author), Karin Suzuragi (artist)	August 2008	January 2009	No
Hero Tales	Huang Jin Zhou (author), Hiromu Arakawa (artist)	February 2009	On hiatus	No
K-On!	Kakifly	September 2010	Ongoing	No
Nabari no Ou	Yuhki Kamatani	August 2008	Unknown	No
Pandora Hearts	Jun Mochizuki	June 2009	Unknown	No
Soul Eater	Atsushi Okubo	August 2008	Unknown	No
Sumomomo Momomo	Shinobu Ohtaka	August 2008	October 2009	No
Yotsuba&!	Kiyohiko Azuma	September 2010	Ongoing	No
