Position	Driver / Passenger	Equipment	Bike No	Points
1	Daniël Willemsen / Reto Grütter	Zabel - VMC	1	531
2	Kristers Sergis / Kaspars Stupelis	KTM-AYR	3	434
3	Jan Hendrickx / Tim Smeuninx	Zabel-VMC	2	421
4	Joris Hendrickx / Kaspars Liepins	KTM - AYR	8	394
5	Marco Happich / Meinrad Schelbert	Zabel-MEFO	7	317
6	Maris Rupeiks / Haralds Kurpnieks	KTM-AYR	6	297
7	Vaclav Rozehnal / Marek Rozehnal	Zabel-VMC	5	273
8	Janis Daiders / Lauris Daiders	KTM-AYR	10	269
9	Nicky Pulinx / Ondrej Cermak	Zabel-VMC	14	244
10	Etienne Bax / Marc van Deutekom	Zabel-VMC	21	240
