Rank	Municipality	Province	Status	Area (km 2 )
1	La Tuque	Quebec	Ville	25104.59
2	Senneterre	Quebec	Ville	14887.03
3	Rouyn-Noranda	Quebec	Ville	5991.06
4	Halifax Regional Municipality	Nova Scotia	Regional municipality	5490.18
5	Val-d'Or	Quebec	Ville	3545.25
6	Greater Sudbury	Ontario	City	3200.56
7	Kawartha Lakes	Ontario	City	3059.47
8	Timmins	Ontario	City	2961.58
9	Ottawa	Ontario	City	2778.13
10	Cape Breton Regional Municipality	Nova Scotia	Regional municipality	2433.33
11	Queens	Nova Scotia	Regional municipality	2386.58
12	Gillam	Manitoba	Town	1996.35
13	Sept-Îles	Quebec	Ville	1764.26
14	Norfolk County	Ontario	City	1606.91
15	Leaf Rapids	Manitoba	Town	1272.87
16	Haldimand County	Ontario	City	1251.58
17	Snow Lake	Manitoba	Town	1211.89
18	Saguenay	Quebec	Ville	1126.27
19	Gaspé	Quebec	Ville	1120.62
20	Hamilton	Ontario	City	1117.21
21	Port-Cartier	Quebec	Ville	1101.31
22	Prince Edward County	Ontario	City	1050.14
23	Lynn Lake	Manitoba	Town	910.23
24	County of Brant	Ontario	City	843.1
25	Shawinigan	Quebec	Ville	733.27
26	Calgary	Alberta	City	726.5
27	Témiscaming	Quebec	Ville	717.87
28	Huntsville	Ontario	Town	703.23
29	Chibougamau	Quebec	Ville	699.16
30	Elliot Lake	Ontario	City	698.12
31	Caledon	Ontario	Town	687.17
32	Edmonton	Alberta	City	684.37
33	Saint-Raymond	Quebec	Ville	670.55
34	Laurentian Hills	Ontario	Town	640.37
35	Toronto	Ontario	City	630.18
36	Bracebridge	Ontario	Town	617.42
37	Iroquois Falls	Ontario	Town	599.43
38	Mont-Laurier	Quebec	Ville	590.35
39	Dégelis	Quebec	Ville	556.64
40	Belleterre	Quebec	Ville	551.29
41	Baie-Saint-Paul	Quebec	Ville	546.27
42	Cochrane	Ontario	Town	538.76
43	South Bruce Peninsula	Ontario	Town	531.9
44	Lakeshore	Ontario	Town	530.32
45	Kearney	Ontario	Town	529.5
46	Blind River	Ontario	Town	520.59
47	Gravenhurst	Ontario	Town	517.99
48	Mississippi Mills	Ontario	Town	509.05
49	Northeastern Manitoulin and the Islands	Ontario	Town	495.04
50	Quinte West	Ontario	City	493.85
51	Mirabel	Quebec	Ville	485.51
52	Fermont	Quebec	Ville	470.67
53	Winnipeg	Manitoba	City	464.01
54	Greater Napanee	Ontario	Town	459.71
55	La Malbaie	Quebec	Ville	459.34
56	Rivière-Rouge	Quebec	Ville	454.99
57	Québec City	Quebec	Ville	454.26
58	Kingston	Ontario	City	450.39
59	Lévis	Quebec	Ville	449.32
60	St. John's	Newfoundland and Labrador	City	446.04
61	Bécancour	Quebec	Ville	441
62	Percé	Quebec	Ville	432.39
63	Amos	Quebec	Ville	430.06
64	London	Ontario	City	420.57
65	Chandler	Quebec	Ville	419.5
66	Whitehorse	Yukon	City	416.43
67	Gracefield	Quebec	Ville	386.21
68	Baie Verte	Newfoundland and Labrador	Town	371.07
69	Milton	Ontario	Town	366.61
70	Montreal	Quebec	Ville	365.13
71	Saint-Félicien	Quebec	Ville	363.57
72	Abbotsford	British Columbia	City	359.36
73	Sherbrooke	Quebec	Ville	353.46
74	Gatineau	Quebec	Ville	342.32
75	Pohénégamook	Quebec	Ville	340.33
76	Baie-Comeau	Quebec	Ville	338.88
77	Thunder Bay	Ontario	City	328.48
78	Plympton–Wyoming	Ontario	Town	318.76
79	Surrey	British Columbia	City	317.19
80	Prince George	British Columbia	City	316
81	Saint John	New Brunswick	City	315.49
82	North Bay	Ontario	City	314.91
83	Happy Valley-Goose Bay	Newfoundland and Labrador	Town	305.85
84	Minto	Ontario	Town	300.37
85	Kamloops	British Columbia	City	297.3
86	Erin	Ontario	Town	296.98
87	Clarence-Rockland	Ontario	City	296.53
88	Cookshire-Eaton	Quebec	Ville	295.93
89	Dolbeau-Mistassini	Quebec	Ville	295.67
90	Trois-Rivières	Quebec	Ville	288.92
91	Mississauga	Ontario	City	288.53
92	Georgina	Ontario	Town	287.72
93	The Blue Mountains	Ontario	Town	286.78
94	Innisfil	Ontario	Town	284.18
95	Essex	Ontario	Town	277.95
96	Mono	Ontario	Town	277.67
97	Halton Hills	Ontario	Town	276.26
98	New Tecumseth	Ontario	Town	274.18
99	Vaughan	Ontario	City	273.58
100	Brampton	Ontario	City	266.71
