Week	Date	Opponent	Result	Attendance
1	September 16, 1962	at Dallas Cowboys	T 35-35	15,730
2	September 23, 1962	at Cleveland Browns	W 17-16	57,491
3	September 30, 1962	St. Louis Cardinals	W 24-14	37,419
4	October 7, 1962	Los Angeles Rams	W 20-14	18,104
5	October 14, 1962	at St. Louis Cardinals	T 17-17	38,264
6	October 21, 1962	at Philadelphia Eagles	W 27-21	60,671
7	October 28, 1962	at New York Giants	L 49-34	62,844
8	November 4, 1962	Dallas Cowboys	L 38-10	49,888
9	November 11, 1962	Cleveland Browns	W 17-9	48,169
10	November 18, 1962	at Pittsburgh Steelers	L 23-21	21,231
11	November 25, 1962	New York Giants	L 42-24	49,219
12	December 2, 1962	Philadelphia Eagles	L 37-14	32,229
13	December 8, 1962	at Baltimore Colts	L 34-21	56,964
14	December 16, 1962	Pittsburgh Steelers	L 27-24	34,508
