Dateca	Event #	Event	Winner	Prize	Entries	Prize Pool	Elapsed Time
Apr 2	1L	$5.50 No Limit Hold'em w/rebuys [6-max]	Eetu100	$41,562.77	27,134 (45,438 R, 14,434 A)	$435,030	15 h 47 min
Apr 2	1M	$55 No Limit Hold'em w/rebuys [6-max]	westmenloAA ( Isaac Baron )	$97,805.88	4,057 (6,009 R, 2,761 A)	$641,350	16 h 43 min
Apr 2	1H	$530 No Limit Hold'em w/rebuys [6-max]	BongBob ( Konstantin Bücherl )	$191,135.00 1	672 (983 R, 564 A)	$1,109,500	20 h 1 min
Apr 2	2L	$11 Pot Limit Omaha H/L	thehoffa	$9,945.26 1	7,622	$76,220	11 h 36 min
Apr 2	2M	$109 Pot Limit Omaha H/L	Sdouble ( Josh Schlein )	$33,664.00	2,104	$210,400	13 h 3 min
Apr 2	2H	$1,050 Pot Limit Omaha H/L	finsfan7 ( Brad Ruben )	$61,686.62 1	327	$327,000	13 h 9 min
Apr 3	3L	$11 Pot Limit 5 Card Draw	xMOUSSx ( Antoine Dugast )	$6,545.31	4,292	$42,920	13 h 55 min
Apr 3	3M	$109 Pot Limit 5 Card Draw	dmitry999	$17,630.00	756	$100,000	14 h 24 min
Apr 3	3H	$1,050 Pot Limit 5 Card Draw	sexygee	$54,500.00	120	$200,000	13 h 46 min
Apr 3	4L	$16.50 No Limit Hold'em [2X Chance, turbo]	kingcoles80	$31,178.71 1	14,496 (7,876 R)	$335,580	5 h 11 min
Apr 3	4M	$162 No Limit Hold'em [2X Chance, turbo]	Thx4UrM0ney	$103,335.76	2,887 (1,487 R)	$656,100	4 h 38 min
Apr 3	4H	$1,575 No Limit Hold'em [2X Chance, turbo]	PokerKai	$237,690.00	552 (282 R)	$1,251,000	3 h 47 min
Apr 4	5M	$162 No Limit Hold'em Triple Shootout [10-max]	danxxx1	$25,425.00 1	1,000	$150,000	12 h 39 min
Apr 4	5H	$1,575 No Limit Hold'em Double Shootout [10-max]	deamon10	$45,000.00	100	$150,000	9 h 31 min
Apr 4	6L	$22 Pot Limit Omaha [1R1A, 6-max]	MrNyNe	$19,000.00 1	4,344 (2,967 R, 2,096 A)	$188,140	10 h 39 min
Apr 4	6M	$215 Pot Limit Omaha [1R1A, 6-max]	sapperjuu	$63,281.50	848 (601 R, 440 A)	$377,800	11 h 56 min
Apr 4	6H	$2,100 Pot Limit Omaha [1R1A, 6-max]	Browntown19	$166,400.00	143 (90 R, 87 A)	$640,000	11 h 43 min
Apr 5	7L	$109 HORSE	tomacampi	$43,452.51	2,674	$267,400	10 h 53 min
Apr 5	7M	$1,050 HORSE	ramonieye	$95,000.00	444	$500,000	10 h 40 min
Apr 5	7H	$10,300 HORSE	Wrasse	$260,000.00	80	$800,000	11 h 9 min
Apr 5-6	8L	$33 No Limit Hold'em	BodogBanshee	$50,000.00 1	20,353	$610,590	Day 2: 3 h 39 min
Apr 5-6	8M	$320 No Limit Hold'em	AlexanderT	$206,369.17 1	6,274	$1,882,200	Day 2: 5 h 20 min
Apr 5-6	8H	$3,150 No Limit Hold'em	MCMATTO ( Matt Affleck )	$470,500.00 1	915	$3,000,000	Day 2: 8 h 16 min
Apr 6	9L	$22 2-7 Triple Draw	InstantLei	$5,673.16	1,801	$36,020	10 h 16 min
Apr 6	9M	$215 2-7 Triple Draw	drawmyface	$19,000.00	439	$100,000	11 h 17 min
Apr 6	9H	$2,100 2-7 Triple Draw	Amke	$60,000.00	90	$200,000	10 h 16 min
Apr 6	10L	$16.50 Heads-up No Limit Hold'em	Scarer	$13,402.41 1	8,192	$122,880	10 h 9 min
Apr 6	10M	$162 Heads-up No Limit Hold'em	Ridemin`out	$42,936.00 1	2,048	$307,200	13 h 2 min
Apr 6	10H	$1,575 Heads-up No Limit Hold'em	PokerNoob999	$133,250.00 1	450	$675,000	12 h 56 min
Apr 7	11L	$33 Mixed Hold'em [6-max]	golferen50	$18,016.84 1	5,124	$153,720	11 h 33 min
Apr 7	11M	$320 Mixed Hold'em [6-max]	riverburn22	$52,696.74 1	1,125	$337,500	12 h 0 min
Apr 7	11H	$3,150 Mixed Hold'em [6-max]	Andy McLEOD ( James Obst )	$184,000.00	247	$800,000	12 h 37 min
Apr 7	12L	$22 7 Card Stud H/L	PiMaster ( Chris Viox )	$9,951.51	3,062	$61,240	10 h 37 min
Apr 7	12M	$215 7 Card Stud H/L	kasparov007	$17,500.00 1	704	$140,800	11 h 36 min
Apr 7	12H	$2,100 7 Card Stud H/L	gator93 ( Frank Hernandez )	$57,770.00	106	$212,000	13 h 29 min
Apr 8	13L	$22 Razz	Anubis147	$8,443.00 1	2,945	$58,900	10 h 48 min
Apr 8	13M	$215 Razz	dimmmmi1	$26,737.50	713	$142,600	12 h 17 min
Apr 8	13H	$2,100 Razz	steamraise ( Daniel Alaei )	$63,765.00	117	$234,000	12 h 42 min
Apr 8	14L	$55 No Limit Hold'em [6-max]	RaiNKhAN ( Hevad Khan )	$58,107.01	8,301	$415,050	12 h 58 min
Apr 8	14M	$530 No Limit Hold'em [6-max]	Roach11	$134,977.50	1,714	$857,000	13 h 35 min
Apr 8	14H	$5,200 No Limit Hold'em [6-max]	garompon	$328,295.52 1	331	$1,655,000	16 h 23 min
Apr 9	15L	$44 8-game Mixed Event	thehoffa	$13,721.41	2,178	$87,120	10 h 56 min
Apr 9	15M	$425 8-game Mixed Event	SLOPPYKLOD ( Chris Klodnicki )	$33,744.00	444	$177,600	10 h 48 min
Apr 9	15H	$4,175 8-game Mixed Event	what is 7x6	$100,800.00	84	$336,000	12 h 26 min
Apr 9	16L	$33 7 Card Stud	EgyptPharaoh	$7,428.68 1	1,592	$47,760	9 h 49 min
Apr 9	16M	$320 7 Card Stud	The Grinder ( Michael Mizrachi )	$19,608.00	344	$103,200	9 h 54 min
Apr 9	16H	$3,150 7 Card Stud	jmonnett ( John Monnette )	$56,610.00	51	$153,000	10 h 30 min
Apr 10	17L	$22 No Limit Hold'em [1R1A]	TheChosenWun	$55,037.16 1	9,657 (6,546 R, 6,776 A)	$459,580	15 h 2 min
Apr 10	17M	$215 No Limit Hold'em [1R1A]	thewh00sel	$128,476.91 1	1,809 (1,236 R, 1,320 A)	$873,000	15 h 35 min
Apr 10	17H	$2,100 No Limit Hold'em [1R1A]	jakoon1985	$266,881.13 1	268 (210 R, 226 A)	$1,408,000	15 h 39 min
Apr 10	18L	$55 Limit Omaha H/L	AJB444	$20,103.86	2,561	$128,050	9 h 56 min
Apr 10	18M	$530 Limit Omaha H/L	Lileor99	$37,907.00 1	492	$246,000	11 h 11 min
Apr 10	18H	$5,200 Limit Omaha H/L	amrasaralond ( Michael Binger )	$123,000.00	82	$410,000	10 h 25 min
Apr 11	19L	$55 Pot Limit Omaha	PandaTamer	$23,125.56 1	3,303	$165,150	10 h 10 min
Apr 11	19M	$530 Pot Limit Omaha	jaeh00d	$61,474.76 1	746	$373,000	11 h 39 min
Apr 11	19H	$5,200 Pot Limit Omaha	WhooooKidd ( David "Bakes" Baker )	$215,000.00	190	$1,000,000	11 h 42 min
Apr 11	20L	$55 Limit Hold'em [6-max]	Perumov	$19,467.01	2,472	$123,600	9 h 53 min
Apr 11	20M	$530 Limit Hold'em [6-max]	Unassigned ( Terrence Chan )	$51,300.00	540	$270,000	10 h 59 min
Apr 11	20H	$5,200 Limit Hold'em [6-max]	Unassigned (Terrence Chan)	$134,887.50	99	$495,000	11 h 32 min
Apr 12	21L	$270 Heads-up No Limit Hold'em	blakeb0921	$65,875.00	1,550	$387,500	8 h 35 min
Apr 12	21M	$2,600 Heads-up No Limit Hold'em	RunThisTable ( Andrew Lichtenberger )	$172,800.00	256	$640,000	7 h 55 min
Apr 12	21H	$25,500 Heads-up No Limit Hold'em	toweliestar ( Benny Spindler )	$310,000.00 1	32	$800,000	6 h 20 min
Apr 12-13	22L	$109 No Limit Hold'em Main Event	JannotLapin ( Jean Daligault )	$151,203.71 1	18,747	$1,874,700	Day 2: 1 h 58 min
Apr 12-13	22M	$1,050 No Limit Hold'em Main Event	JC Alvarado ( Juan Carlos Alvarado )	$502,086.00	3,198	$3,198,000	Day 2: 3 h 52 min
