Name	Nation	Seasons	Championship titles	Races (Starts)	Poles	Wins	Podiums	Fastest Laps	Points
Daniel Abt Category:Articles with hCards	Germany	2012	0	16	1	2	7	0	149.5
Mikhail Aleshin Category:Articles with hCards	Russia	2010	0	2	0	0	0	0	0
Zoël Amberg Category:Articles with hCards	Switzerland	2011	0	16	0	0	0	0	0
Luciano Bacheta Category:Articles with hCards	United Kingdom	2011	0	12	0	0	0	0	4
Marco Barba Category:Articles with hCards	Spain	2010	0	2	0	0	0	0	0
Mirko Bortolotti Category:Articles with hCards	Italy	2010	0	16	0	0	1	0	16
Valtteri Bottas Category:Articles with hCards	Finland	2011	1 ( 2011 )	16	1	4	7	2	62
Alex Brundle Category:Articles with hCards	United Kingdom	2012	0	16	0	0	1	0	19
William Buller Category:Articles with hCards	United Kingdom	2012	0	16	0	1	1	0	20
James Calado Category:Articles with hCards	United Kingdom	2011	0	16	1	1	6	2	55
Andrea Caldarelli Category:Articles with hCards	Italy	2011	0	4	0	0	1	1	20
Kevin Ceccon Category:Articles with hCards	Italy	2012	0	16	0	0	1	2	56
Gabriel Chaves Category:Articles with hCards	Colombia	2011	0	16	0	0	0	0	8
Michael Christensen Category:Articles with hCards	Denmark	2010 – 2011	0	32	0	0	2	1	19
Stefano Coletti Category:Articles with hCards	Monaco	2010	0	14	0	0	2	0	18
Leonardo Cordeiro Category:Articles with hCards	Brazil	2010 – 2011	0	32	0	0	0	1	1
Robert Cregan Category:Articles with hCards	Ireland	2012 – 2013	0	18 (17)	0	0	0	0	0
Ryan Cullen Category:Articles with hCards	United Kingdom	2013	0	16	0	0	0	0	0
Conor Daly Category:Articles with hCards	United States	2011 – 2013	0	48	1	2	11	1	242
Tom Dillmann Category:Articles with hCards	France	2011	0	14	1	0	1	0	15
Tio Ellinas Category:Articles with hCards	Cyprus	2012 – 2013	0	32	1	3	5	4	213
Jimmy Eriksson Category:Articles with hCards	Sweden	2013	0	16	0	0	0	0	0
Mitch Evans Category:Articles with hCards	New Zealand	2011 – 2012	1 ( 2012 )	32	6	4	8	2	180.5
Adderly Fong Category:Articles with hCards	Hong Kong	2013	0	14	0	0	0	0	2
Alex Fontana Category:Articles with hCards	Switzerland	2011 – 2013	0	22	0	0	1	0	27.5
Lucas Foresti Category:Articles with hCards	Brazil	2010	0	10	0	0	1	0	7
David Fumanelli Category:Articles with hCards	Italy	2012 – 2013	0	30 (28)	0	0	1	0	53
Fabio Gamberini Category:Articles with hCards	Brazil	2012	0	2	0	0	0	0	1
Vittorio Ghirelli Category:Articles with hCards	Italy	2010 – 2011	0	30 (28)	0	0	0	0	0
Samin Gómez Category:Articles with hCards	Venezuela	2013	0	16	0	0	0	0	0
Felipe Guimarães Category:Articles with hCards	Brazil	2010	0	16	0	0	1	0	9
Esteban Gutiérrez Category:Articles with hCards	Mexico	2010	1 ( 2010 )	16	3	5	9	7	88
Jack Harvey Category:Articles with hCards	United Kingdom	2013	0	16	0	2	3	1	114
Rio Haryanto Category:Articles with hCards	Indonesia	2010 – 2011	0	32	0	3	7	1	58
Tobias Hegewald Category:Articles with hCards	Germany	2010	0	16	0	0	0	0	6
Christophe Hurni Category:Articles with hCards	Switzerland	2011	0	2	0	0	0	0	0
Thomas Hylkema Category:Articles with hCards	Netherlands	2011	0	12	0	0	0	0	0
James Jakes Category:Articles with hCards	United Kingdom	2010	0	12	0	0	3	0	21
Carmen Jordá Category:Articles with hCards	Spain	2012 – 2013	0	36 (34)	0	0	0	0	0
Daniel Juncadella Category:Articles with hCards	Spain	2010	0	10	0	0	1	0	10
Tamás Pál Kiss Category:Articles with hCards	Hungary	2011 – 2012	0	32	0	1	2	0	49
Jakub Klášterka Category:Articles with hCards	Czech Republic	2012	0	4	0	0	0	0	0
Kevin Korjus Category:Articles with hCards	Estonia	2013	0	16	1	0	4	1	107
Patrick Kujala Category:Articles with hCards	Finland	2013	0	15	0	0	0	0	5
Daniil Kvyat Category:Articles with hCards	Russia	2013	1 ( 2013 )	16	2	3	5	4	168
Matias Laine Category:Articles with hCards	Finland	2011 – 2012	0	32	0	1	4	1	111
Eric Lichtenstein Category:Articles with hCards	Argentina	2013	0	10	0	0	0	0	0
