Player	Group Legs won	Play-Off Legs won	Winners Group Legs won	Winners Play-Off Legs won	Final position money won*	Total money won
Mervyn King	100	20	23	1	£2,500	£11,900
Phil Taylor	71	22	42	10	£5,000	£17,550
Adrian Lewis	160	6	28	0	0	£11,400
Alan Tabern	87	4	0	0	0	£4,750
Colin Lloyd	114	0	0	0	0	£6,200
Mark Walsh	108	21	28	0	0	£10,300
James Wade	41	12	24	2	£2,500	£8,550
Vincent van der Voort	54	8	0	0	0	£3,500
Colin Osborne	95	10	37	12	£10,000	£21,850
Robert Thornton	30	0	0	0	0	£1,500
Andy Hamilton	26	0	0	0	0	£1,300
Dennis Priestley	24	0	0	0	0	£1,200
John Part	22	0	0	0	0	£1,100
Ronnie Baxter	21	0	0	0	0	£1,050
Mark Dudbridge	41	3	0	0	0	£2,350
Wayne Mardle	36	12	20	0	0	£5,000
Denis Ovens	64	0	0	0	0	£3,200
Peter Manley	27	0	0	0	0	£1,350
Kevin Painter	61	10	0	0	0	£4,050
