Week	Date	Opponent	Result	Attendance
1	September 4, 1983	New York Jets	L 41-29	51,004
2	September 12, 1983	at Kansas City Chiefs	W 17-14	62,150
3	September 18, 1983	at Seattle Seahawks	L 34-31	61,714
4	September 25, 1983	Cleveland Browns	L 30-24	49,482
5	October 2, 1983	at New York Giants	W 41-34	73,892
6	October 9, 1983	Seattle Seahawks	W 28-21	49,132
7	October 16, 1983	at New England Patriots	L 37-21	59,016
8	October 23, 1983	at Denver Broncos	L 14-6	74,581
9	October 31, 1983	Washington Redskins	L 27-24	46,114
10	November 6, 1983	at Pittsburgh Steelers	L 26-3	58,191
11	November 13, 1983	Dallas Cowboys	W 24-23	46,192
12	November 20, 1983	at St. Louis Cardinals	L 44-14	40,644
13	November 27, 1983	Denver Broncos	W 31-7	43,650
14	December 1, 1983	Los Angeles Raiders	L 42-10	47,760
15	December 11, 1983	Kansas City Chiefs	W 41-38	35,510
16	December 18, 1983	at Los Angeles Raiders	L 30-14	57,325
