Date Released	Polling institute	Social Democratic	Socialist	Green-Communist	People's Party	Left Bloc	Lead
March 17, 2002	Election Results	40.2% 105 seats	37.8% 96 seats	6.9% 12 seats	8.7% 14 seats	2.7% 3 seats	2.4%
March 17, 2002	Exit Poll - RTP1 Universidade Católica	37.0% – 42.0%	36.0% – 41.0%	5.5% – 8.0%	7.5% – 10.0%	3.0% – 4.0%	1.0%
March 17, 2002	Exit Poll - SIC Eurosondagem	40.1% – 43.9%	35.5% – 39.3%	6.2% – 8.4%	6.2% – 8.4%	2.0% – 3.4%	4.6%
March 17, 2002	Exit Poll - TVI INTERCAMPUS	37.8% – 42.8%	35.5% – 40.5%	6.8% – 9.8%	5.3% – 8.3%	1.6% – 4.2%	2.3%
March 15, 2002	Marktest	44.0%	35.0%	8.0%	6.0%	4.0%	9.0%
March 15, 2002	Lusófona	43.6%	40.9%	5.7%	7.1%	2.8%	2.7%
March 15, 2002	Eurosondagem	41.4%	39.3%	6.9%	5.6%	3.5%	2.1%
March 15, 2002	Eurequipa	44.7%	33.9%	7.1%	9.1%	3.2%	10.8%
March 15, 2002	Universidade Católica	42.2%	37.5%	6.9%	6.8%	3.6%	4.7%
March 14, 2002	INTERCAMPUS	41.0%	39.0%	8.0%	5.0%	3.0%	2.0%
March 14, 2002	Aximage	44.0%	40.0%	7.0%	6.0%	2.0%	4.0%
October 10, 1999	1999 election	32.3% 81 seats	44.1% 115 seats	9.0% 17 seats	8.3% 15 seats	2.4% 2 seats	11.9%
