Rank	Name	Nation	SP+FS	Points	Places
1	Mark Cockerell	United States	1	172.42	11
2	Takashi Mura	Japan	2	165.70	24
3	Brian Pockar	Canada	3	166.62	23
4	Norbert Schramm	West Germany	4	159.80	40
5	Andrew Bestwick	United Kingdom	5	158.10	48
6	Stephan Bril	West Germany	7	155.72	57
7	Patrice Macrez	France	6	151.76	71
8	Pierre Lamine	France	8	150.50	79
9	Shinji Someya	Japan	10	150.34	74.5
10	Jozef Sabovčík	Czechoslovakia	9	148.88	87
11	Daniel Fuerer	Switzerland	13	146.18	92.5
12	Gerald Schranz	Austria	11	143.04	102
13	Helmut Kristofics-Binder	Austria	15	137.32	123
14	Michael Pasfield	Australia	12	136.60	119
15	Francis Demarteau	Belgium	14	131.02	140
16	Adrian Vasile	Romania	16	127.74	143
17	Miljan Begovic	Yugoslavia	17	127.30	143
18	Jeremy Dowson	South Africa	18	114.98	166
19	Marc Franquet	Belgium	19	114.38	167
