Track	Title	Songwriter(s)	Producer(s)	Length
1	"Intro"	Hadise Açıkgöz	Yves Jongen	0:52
2	" My Man and the Devil on His Shoulder "	Hadise Açıkgöz, Yves Jongen	Hadise Açıkgöz , Yves Jongen	4:34
3	" My Body "	Hadise Açıkgöz	L. T. Hutton	3:14
4	"Prisoner"	Hadise Açıkgöz, Stefaan Fernande, Elio Deepcore	Hadise Açıkgöz, Stefaan Fernande, Elio Deepcore	3:52
5	" A Good Kiss "	Hadise Açıkgöz, Yves Jongen	Hadise Açıkgöz, Yves Jongen	3:29
6	"All Together"	Hadise Açıkgöz, Yves Jongen	Hadise Açıkgöz, Yves Jongen	3:07
7	"Men Chase Women Choose"	Hadise Açıkgöz, Yves Jongen	Hadise Açıkgöz, Yves Jongen	3:08
8	"Creep"	Hadise Açıkgöz, Stefaan Fernande, Stano Simor	Hadise Açıkgöz, Stefaan Fernande, Stano Simor	3:44
9	"Good Morning Baby"	Yves Jongen	Yves Jongen	4:16
10	"Don't Ask"	Hadise Açıkgöz, Yves Jongen	Hadise Açıkgöz, Yves Jongen	3:00
11	"Intimate"	Hadise Açıkgöz, Stefaan Fernande, Luca Chiaravall	Hadise Açıkgöz, Stefaan Fernande, Luca Chiaravall	3:37
12	"Busy Bee"	Hadise Açıkgöz, Yves Jongen	Hadise Açıkgöz, Yves Jongen	3:32
13	"Comfort Zone"	Hadise Açıkgöz, Yves Jongen	Hadise Açıkgöz, Yves Jongen	4:09
14	"Who Am I?"	Hadise Açıkgöz, Yves Jongen	Hadise Açıkgöz, Yves Jongen	3:14
15	"A Song For My Mother"	Hadise Açıkgöz, Stefaan Fernande, Luca Chiaravall	Hadise Açıkgöz, Stefaan Fernande, Luca Chiaravall	3:32
16	" Aşkkolik "	Deniz Erten	Özgür Buldum	3:30
17	" Deli Oğlan "	Sezen Aksu	Hadise Açıkgöz, Yves Jongen	3:12
