Wicket	Score	Batting partners	Opposition	Venue	City	Year
1st	368	Archie MacLaren & Reggie Spooner	Gloucestershire	Aigburth	Liverpool	1903
2nd	371	Frank Watson & Ernest Tyldesley	Surrey	Old Trafford	Manchester	1928
3rd	364	Mike Atherton & Neil Fairbrother	Surrey	The Oval	London	1990
4th	358	Stephen Titchard & Graham Lloyd	Essex	County Ground	Chelmsford	1996
5th	360	Stuart Law & Carl Hooper	Warwickshire	Edgbaston	Birmingham	2003
6th	278	Jack Iddon & Henry Butterworth	Sussex	Old Trafford	Manchester	1932
7th	248	Graham Lloyd & Ian Austin	Yorkshire	Headingley	Leeds	1997
8th	158	John Lyon & Bob Ratcliffe	Warwickshire	Old Trafford	Manchester	1979
9th	142	Les Poidevin & Alexander Kermode	Sussex	The Saffrons	Eastbourne	1907
10th	173	Johnny Briggs & Dick Pilling	Surrey	Aigburth	Liverpool	1885
