Episode	1st edition	2nd edition	3rd edition	4th edition
1	5 689 616 (March 3, 2007)	3 490 226 (September 8, 2007)	3 882 171 (March 8, 2008)	2 902 586 (September 6, 2008)
2	5 034 580 (March 10, 2007)	3 988 506 (September 15, 2007)	3 721 652 (March 15, 2008)	2 915 086 (September 13, 2008)
3	4 824 807 (March 17, 2007)	3 719 651 (September 22, 2007)	3 691 033 (March 22, 2008)	3 516 900 (September 20, 2008)
4	4 598 613 (March 24, 2007)	3 887 115 (September 29, 2007)	3 869 518 (March 29, 2008)	3 056 273 (September 27, 2008)
5	4 565 689 (March 31, 2007)	4 230 733 (October 6, 2007)	4 049 315 (April 5, 2008)	3 172 681 (4 Pctober 2008)
6	4 134 708 (April 14, 2007)	4 231 970 (October 20, 2007)	3 787 760 (April 12, 2008)	2 870 249 (October 11, 2008)
7	3 798 140 (April 21, 2007)	4 210 394 (October 27, 2007)	3 643 252 (April 19, 2008)	2 846 947 (October 18, 2008)
8	4 244 063 (April 28, 2007)	4 309 850 (November 3, 2007)	3 611 380 (April 26, 2008)	3 038 753 (October 25, 2008)
9	4 204 654 (May 5, 2007)	4 049 478 (November 10, 2007)	3 182 446 (May 3, 2008)	3 498 515 (November 8, 2008)
10	4 726 703 (May 12, 2007)	3 853 187 (November 24, 2007)	3 128 871 (May 10, 2008)	3 377 363 (November 8, 2008)
11	3 949 779 (May 19, 2007)	4 216 436 (December 1, 2007)	3 383 989 (May 17, 2008)	3 351 051 (November 22, 2008)
12	3 708 186 (May 26, 2007)	4 311 673 (December 8, 2007)	3 351 302 (May 24, 2008)	3 121 808 (November 29, 2008)
13	4 977 556 (June 2, 2007)	4 758 730 (December 15, 2007)	3 284 740 (May 31, 2008)	4 255 764 (December 6, 2008)
Average viewing	4 507 262	4 109 762	3 583 305	3 234 688
