No.	Name	Mi from Kingston	Km from Kingston	Parish	Length feet	Length meters
1	Scotts Pass	44.25	71.2	Clarendon	70	21.3
2	Scotts Pass	44.50	71.6	Clarendon	170	51.8
3	Comfort Hall	65.50	105.4	St. Elizabeth	688	209.1
4	Balaclava	70.00	112.6	St. Elizabeth	348	106.1
5	Highworth	84.00	135.2	St. Elizabeth	182	55.5
6	Y S	84.50	136.0	St. Elizabeth	218	66.4
7	Ipswich	86.25	138.8	St. Elizabeth	855	260.6
8	Unnamed	87.75	141.2	St. James	555	164.6
9	Merrywood	88.50	142.4	St. James	362	115.8
10	Anchovy	104.50	168.2	St. James	102	31.1
11	Ramble	108.00	173.8	St. James	182	55.5
12	Bogue Hill	108.50	174.6	St. James	1276	388.9
