Tie no	Home team	Score	Away team	Date
1	Southampton	3–1	Bristol Rovers	24 January 1981
2	Watford	1–1	Wolverhampton Wanderers	24 January 1981
Replay	Wolverhampton Wanderers	2–1	Watford	27 January 1981
3	Leicester City	1–1	Exeter City	24 January 1981
Replay	Exeter City	3–1	Leicester City	28 January 1981
4	Notts County	0–1	Peterborough United	24 January 1981
5	Nottingham Forest	1–0	Manchester United	24 January 1981
6	Middlesbrough	1–0	West Bromwich Albion	24 January 1981
7	Everton	2–1	Liverpool	24 January 1981
8	Shrewsbury Town	0–0	Ipswich Town	24 January 1981
Replay	Ipswich Town	3–0	Shrewsbury Town	27 January 1981
9	Wrexham	2–1	Wimbledon	24 January 1981
10	Newcastle United	2–1	Luton Town	24 January 1981
11	Tottenham Hotspur	2–0	Hull City	24 January 1981
12	Manchester City	6–0	Norwich City	24 January 1981
13	Fulham	1–2	Charlton Athletic	24 January 1981
14	Barnsley	1–1	Enfield	24 January 1981
Replay	Enfield	0–3	Barnsley	28 January 1981
15	Coventry City	3–2	Birmingham City	24 January 1981
16	Carlisle United	1–1	Bristol City	24 January 1981
Replay	Bristol City	5–0	Carlisle United	28 January 1981
