Sunday Surya (the Sun)	Monday Soma (the Moon)	Tuesday Mangala (Mars)	Friday Shukra (Venus)	Saturday Shani (Saturn)
ஞாயிற்று கிழமை Nyāyitru kizhamai	திங்கட் கிழமை Thingat kizhamai	செவ்வாய்க் கிழமை Sevvāi kizhamai	வெள்ளிக் கிழமை Velli kizhamai	சனிக் கிழமை Shani kizhamai
भानुवासरम् Bhaan Vāsaram	इन्दुवासरम् Indu Vāsaram	भौमवासरम् Bhauma Vāsaram	भृगुवासरम् Bhrgu Vāsaram	स्थिरवासरम् Sthira Vāsaram
रविवार Ravivār	सोमवार Somavār	मंगलवार Mangalavār	शुक्रवार Shukravār	शनिवार Shanivār
रविवार Ravivār	सोमवार Somavār	मंगळवार Mangaḷavār	शुक्रवार Shukravār	शनिवार Shanivār
রবিবার Robibar	সোমবার Shombar	মঙ্গলবার Monggolbar	শুক্রবার Shukrobar	শনিবার Shonibar
Itwār اتوار	Pīr پیر [☽4 ] or Somwar سوموار	Mangal منگل	Jum'ah جمعہ [♀4 ]	Sanīchar سنیچر or ہفتہ Haftah [♄6 ]
اَتھ وار Aath'var	ژندر وار Tsander'var	پم وار Bom'var	جُمھ Jummah	بٹ وار Bat'var
တနင်္ဂနွေ IPA: [tənɪ́ɴ ɡənwè ] (Tananganve)	တနင်္လာ IPA: [tənɪ́ɴ là ] (Tanangla)	အင်္ဂါ IPA: [ɪ̀ɴ ɡà ] (Angga)	သောကြာ IPA: [θaʊʔ tɕà ] (Saukra)	စနေ IPA: [sənè ] (Cane)
တ္ၚဲ အဒိုတ် [ŋoa ətɜ̀t ] from Sans. āditya	တ္ၚဲ စန် [ŋoa cɔn] from Sans. candra	တ္ၚဲ အၚါ [ŋoa əŋɛ̀a] from Sans. aṅgāra	တ္ၚဲ သိုက်. [ŋoa sak] from Sans. śukra	တ္ၚဲ သ္ၚိ သဝ် [ŋoa hɔeʔ sɔ] from Sans. śani
ថ្ងៃអាទិត្យ [tŋaj ʔaatɨt ]	ថ្ងៃចន្ទ [tŋaj can]	ថ្ងៃអង្គារ [tŋaj ʔɑŋkie]	ថ្ងៃសុក្រ [tŋaj sok]	ថ្ងៃសៅរ៍ [tŋaj saʋ]
રવિવાર Ravivār	સોમવાર Somvār	મંગળવાર Mangaḷvār	શુક્રવાર Shukravār	શનિવાર Shanivār
އާދީއްތަ Aadheettha	ހޯމަ Homa	އަންގާރަ Angaara	ހުކުރު Hukuru	ހޮނިހިރު Honihiru
ఆదివారం Aadi Vāram	సోమవారం Soma Vāram	మంగళవారం Mangala Vāram	శుక్రవారం Shukra Vāram	శనివారం Shani Vāram
ഞായര്‍ Nhāyar	തിങ്കള്‍ Tingal	ചൊവ്വ Covva	വെള്ളി Velli	ശനി Sani
ಭಾನುವಾರ Bhanu Vaara	ಸೋಮವಾರ Soma Vaara	ಮಂಗಳವಾರ Mangala Vaara	ಶುಕ್ರವಾರ Shukra Vaara	ಶನಿವಾರ Shani Vaara
ວັນອາທິດ [wán ʔàːtʰīt ]	ວັນຈັນ [wán càn]	ວັນອັງຄານ [wán ʔàŋkʰáːn]	ວັນສຸກ [wán súk]	ວັນເສົາ [wán sǎu]
ඉරිදා Iridaa	සදුදා Sandudaa	අඟහරැවදා Anngaharuwadaa	සිකුරාදා Sikuradaa	සෙනසුරාදා Senasuraadaa
ဝၼ်းဢႃတိတ်ႉ IPA: [wan˦ ʔaː˩ tit˥ ]	ဝၼ်းၸၼ် IPA: [wan˦ tsan˩ ]	ဝၼ်းဢင်းၵၼ်း IPA: [wan˦ ʔaŋ˦ kan˦ ]	ဝၼ်းသုၵ်း IPA: [wan˦ sʰuk˦ ]	ဝၼ်းသဝ် IPA: [wan˦ sʰaw˩ ]
วันอาทิตย์ Wan Āthit	วันจันทร์ Wan Chan	วันอังคาร Wan Angkhān	วันศุกร์ Wan Suk	วันเสาร์ Wan Sao
адъяа ad'yaa	сумъяа sum'yaa	ангараг angarag	сугар sugar	санчир sanchir
Raditya	Soma	Anggara	Sukra	Tumpek
Redite	Coma	Anggara	Sukra	Saniscara
ਐਤਵਾਰ etvār	ਸੋਮਵਾਰ sōmvār	ਮੰਗਲਵਾਰ mangalvār	ਸ਼ੁੱਕਰਵਾਰ shukkarvār	ਸ਼ਨਿੱਚਰਵਾਰ shaniccharvār
