Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	19–11	Lyoto Machida	KO (crane kick)	UFC 129	2	1:05	Toronto, Ontario, Canada
Win	19–10	James Toney	Submission (arm triangle choke)	UFC 118	1	3:19	Boston, Massachusetts, United States
Win	18–10	Mark Coleman	Submission (rear naked choke)	UFC 109	2	1:09	Las Vegas, Nevada, United States
Win	17–10	Brandon Vera	Decision (unanimous)	UFC 105	3	5:00	Manchester, United Kingdom
Loss	16–10	Antônio Rodrigo Nogueira	Decision (unanimous)	UFC 102	3	5:00	Portland, Oregon, United States
Loss	16–9	Brock Lesnar	TKO (punches)	UFC 91	2	3:07	Las Vegas, Nevada, United States
Win	16–8	Gabriel Gonzaga	TKO (punches)	UFC 74	3	1:37	Las Vegas, Nevada, United States
Win	15–8	Tim Sylvia	Decision (unanimous)	UFC 68	5	5:00	Columbus, Ohio , United States
Loss	14–8	Chuck Liddell	KO (punches)	UFC 57	2	1:28	Las Vegas, Nevada, United States
Win	14–7	Mike van Arsdale	Submission (anaconda choke)	UFC 54	3	0:52	Las Vegas, Nevada, United States
Loss	13–7	Chuck Liddell	KO (punches)	UFC 52	1	2:06	Las Vegas, Nevada, United States
Win	13–6	Vitor Belfort	TKO (doctor stoppage)	UFC 49	3	5:00	Las Vegas, Nevada, United States
Loss	12–6	Vitor Belfort	TKO (cut)	UFC 46	1	0:49	Las Vegas, Nevada, United States
Win	12–5	Tito Ortiz	Decision (unanimous)	UFC 44	5	5:00	Las Vegas, Nevada, United States
Win	11–5	Chuck Liddell	TKO (punches)	UFC 43	3	2:40	Las Vegas, Nevada, United States
Loss	10–5	Ricco Rodriguez	Submission (elbow)	UFC 39	5	3:04	Montville, Connecticut , United States
Loss	10–4	Josh Barnett	TKO (punches)	UFC 36	2	4:35	Las Vegas, Nevada, United States
Win	10–3	Pedro Rizzo	TKO (punches)	UFC 34	3	1:38	Las Vegas, Nevada, United States
Win	9–3	Pedro Rizzo	Decision (unanimous)	UFC 31	5	5:00	Atlantic City, New Jersey , United States
Loss	8–3	Valentijn Overeem	Submission (guillotine choke)	Rings: King of Kings 2000 Final	1	0:56	Tokyo, Japan
Win	8–2	Tsuyoshi Kohsaka	Decision (unanimous)	Rings: King of Kings 2000 Final	2	5:00	Tokyo, Japan
Win	7–2	Kevin Randleman	TKO (punches)	UFC 28	3	4:13	Atlantic City, New Jersey, United States
Win	6–2	Ryushi Yanagisawa	Decision (majority)	Rings: King of Kings 2000 Block A	2	5:00	Tokyo, Japan
Win	5–2	Jeremy Horn	Decision (unanimous)	Rings: King of Kings 2000 Block A	3	5:00	Tokyo, Japan
Loss	4–2	Mikhail Ilyukhin	Submission (kimura)	Rings: Rise 1st	1	7:43	Japan
Loss	4–1	Enson Inoue	Submission (armbar)	Vale Tudo Japan 1998	1	1:39	Japan
Win	4–0	Maurice Smith	Decision (majority)	UFC Japan	1	21:00	Yokohama, Kanagawa , Japan
Win	3–0	Vitor Belfort	TKO (punches)	UFC 15	1	8:17	Bay St. Louis, Mississippi , United States
Win	2–0	Steven Graham	TKO (punches)	UFC 13	1	3:13	Augusta, Georgia , United States
Win	1–0	Tony Halme	Submission (rear naked choke)	UFC 13	1	1:00	Augusta, Georgia, United States
