Date	Tournament	Winning score	To par	Margin of victory
Sep 12, 1972	Sahara Invitational	65-69-70-69=273	–15	1 stroke
Apr 29, 1973	Byron Nelson Golf Classic	71-68-71-67=277	–3	Playoff
Aug 19, 1973	USI Classic	71-69-70-69=279	–9	2 strokes
Aug 14, 1977	PGA Championship	69-71-72-70=282	–6	Playoff
Sep 5, 1977	World Series of Golf	69-69-66-67=271	–13	5 strokes
Feb 25, 1979	Glen Campbell-Los Angeles Open	66-72-69-69=276	–8	1 strokes
Mar 31, 1979	Tournament Players Championship	67-68-76-72=283	–5	5 strokes
Jan 25, 1982	Phoenix Open	65-70-63-65=263	–21	6 strokes
Apr 18, 1982	MONY Tournament of Champions	67-72-68-73=280	–8	3 strokes
Aug 22, 1982	Buick Open	66-71-71-65=273	–15	1 stroke
Apr 3, 1983	Greater Greensboro Open	72-69-67-67=275	–13	5 strokes
Apr 24, 1983	MONY Tournament of Champions	67-70-71-72=280	–8	1 stroke
Jan 13, 1985	Bob Hope Classic	67-67-68-66-65=333	–27	Playoff
Jan 27, 1985	Los Angeles Open	63-70-67-64=264	–20	7 strokes
Oct 13, 1985	Walt Disney World/Oldsmobile Classic	68-67-69-63=267	–21	3 strokes
Mar 1, 1987	Doral-Ryder Open	75-66-66-70=277	–11	3 strokes
Feb 14, 1988	Hawaiian Open	68-71-66-66=271	–16	1 stroke
May 22, 1988	Colonial National Invitation	67-68-70-65=270	–9	2 strokes
Jul 8, 1990	Anheuser-Busch Golf Classic	65-66-67-68=266	–18	5 strokes
Jan 20, 1991	United Hawaiian Open	69-67-69-65=270	–18	4 strokes
Aug 2, 1992	Canon Greater Hartford Open	68-70-71-65=274	–6	2 strokes
