Position	Club	Games played	Wins	Draws	Loses	Goals scored	Goals conceded	Points
1	Geležinis Vilkas Vilnius	26	19	3	4	61	15	60
2	Alytis-2 Alytus	26	18	5	3	78	22	59
3	Lifosa Kėdainiai	26	17	3	6	52	36	54
4	SC-Savingė Kaišiadorys	26	17	3	6	59	35	54
5	Vėtra-89 Vilnius	26	16	5	5	68	20	53
6	Vidzgiris Alytus	26	15	4	7	76	41	49
7	Visas Labas Kaunas	26	13	4	9	60	46	43
8	FK Rūdiškės	26	8	6	12	32	37	30
9	FK Prienai	26	8	3	15	30	59	27
10	Sveikata Kybartai	26	8	1	17	54	81	25
11	FM-Spyris Kaunas	26	6	7	13	40	43	25
12	Utenis Utena	26	8	1	16	52	94	25
13	Nevėžis-2 Kėdainiai	26	4	2	20	23	82	14
14	VPU Šviesa Vilnius	14 (only first round)	2	1	11	22	47	7
15	FK Kalvarija	14 (only first round)	0	0	14	11	60	0
