S.no.	Power Plant	State	Commissioned Capacity (MW)	year of commission
1	Baira siul	Himachal Pradesh	180	1981
2	Loktak	Manipur	105	1983
3	Salal-I	Jammu & Kashmir	345	1987
4	Tanakpur	Uttarakhand	120	1992
5	Chamera-I	Himachal Pradesh	540	1994
6	Salal-II	Jammu & Kashmir	345	1996
7	Uri-I	Jammu & Kashmir	480	1997
8	Rangit	Sikkim	60	1999
9	Chamera-II	Himachal Pradesh	300	2004
10	Indira Sagar	Madhya Pradesh	1000	2005
11	Dhauliganga-I	Uttarakhand	280	2005
12	Dul Hasti	Jammu & Kashmir	390	2007
13	Omkareshwar	Madhya Pradesh	520	2007
14	Teesta-V	Sikkim	510	2008
15	Sewa-II	Jammu & Kashmir	120	2010
16	Chamera-III	Himachal Pradesh	231	2012
