Round	Pick	Player	Position	Nationality	Team	College
1	1	Frank Selvy Category:Articles with hCards +	G/F	United States	Baltimore Bullets	Furman
1	2	Bob Pettit Category:Articles with hCards ^	F/C	United States	Milwaukee Hawks	LSU
1	3	Gene Shue Category:Articles with hCards *	G	United States	Philadelphia Warriors	Maryland
1	4	Dick Rosenthal Category:Articles with hCards	G/F	United States	Fort Wayne Pistons	Notre Dame
1	5	Togo Palazzi Category:Articles with hCards	G/F	United States	Boston Celtics	Holy Cross
1	6	Johnny Kerr Category:Articles with hCards +	F/C	United States	Syracuse Nationals	Illinois
1	7	Tom Marshall Category:Articles with hCards	G/F	United States	Rochester Royals	Western Kentucky
1	8	Jack Turner Category:Articles with hCards	G/F	United States	New York Knicks	Western Kentucky
1	9	Ed Kalafat Category:Articles with hCards	F/C	United States	Minneapolis Lakers	Minnesota
2	10	Bobby Leonard Category:Articles with hCards	G	United States	Baltimore Bullets	Indiana
2	11	Bob Mattick Category:Articles with hCards #	C	United States	Milwaukee Hawks	Oklahoma A&M
2	12	Larry Costello Category:Articles with hCards *	G	United States	Philadelphia Warriors	Niagara
2	13	Arnold Short Category:Articles with hCards #	G	United States	Fort Wayne Pistons	Oklahoma City
2	14	Red Morrison Category:Articles with hCards	F/C	United States	Boston Celtics	Idaho
2	15	Dick Farley Category:Articles with hCards	G/F	United States	Syracuse Nationals	Indiana
2	16	Boris Nachamkin Category:Articles with hCards	F	United States	Rochester Royals	NYU
2	17	Richie Guerin Category:Articles with hCards ^	G	United States	New York Knicks	Iona
2	18	Al Bianchi Category:Articles with hCards	G	United States	Minneapolis Lakers	Bowling Green
