Rank	Name	City	Height in m (ft)	Floors	Year built
1	The Shard	London	m (ft)	72	2012
2	Commerzbank Tower	Frankfurt	m (ft)	56	1997
3	Messeturm	Frankfurt	m (ft)	63	1990
4	Torre Caja Madrid	Madrid	m (ft)	45	2008
5	Torre de Cristal	Madrid	m (ft)	45	2008
6=	Torre PwC	Madrid	m (ft)	52	2008
6=	One Canada Square	London	m (ft)	50	1991
8=	Unicredit Tower	Milan	m (ft)	35	2011
8=	Tour First	Paris	m (ft)	52	2011
8=	Palace of Culture and Science	Warsaw	m (ft)	43	1955
11=	Heron Tower	London	m (ft)	46	2010
11=	Torre Espacio	Madrid	m (ft)	57	2008
13	122 Leadenhall Street	London	m (ft)	50	2013
14	DC Towers	Vienna	m (ft)	60	2013
15	Sky Tower	Wrocław	m (ft)	50	2012
16	Tour Montparnasse	Paris	m (ft)	59	1972
17=	Westendstraße 1	Frankfurt	m (ft)	53	1993
17=	Warsaw Trade Tower	Warsaw	m (ft)	43	1999
19	Millennium Tower	Vienna	m (ft)	50	1999
20	25 Canada Square	London	m (ft)	45	2001
21=	Main Tower	Frankfurt	m (ft)	55	1999
21=	8 Canada Square	London	m (ft)	45	2002
21=	Tower 185	Frankfurt	m (ft)	55	2011
24	Złota 44	Warsaw	m (ft)	54	2012
25	HSB Turning Torso	Malmö	m (ft)	54	2005
26=	Trianon	Frankfurt	m (ft)	45	1993
26=	Gran Hotel Bali	Benidorm	m (ft)	52	2002
28	European Central Bank Headquarters	Frankfurt	m (ft)	45	2014
29	Tour GDF Suez	Paris	m (ft)	37	2008
30=	Tower 42	London	m (ft)	47	1980
30=	Tour Granite	Paris	m (ft)	35	2008
32	30 St Mary Axe	London	m (ft)	41	2003
33	Tour Total	Paris	m (ft)	48	1985
34	Tour Areva	Paris	m (ft)	44	1974
35=	Opernturm	Frankfurt	m (ft)	42	2010
35=	Taunusturm	Frankfurt	m (ft)	40	2013
37	Beetham Tower	Manchester	m (ft)	47	2006
38=	Tours Société Générale (Tour Alicante)	Paris	m (ft)	37	1995
38=	Tours Société Générale (Tour Chassagne)	Paris	m (ft)	37	1995
40=	Tour CB21	Paris	m (ft)	42	1974
40=	Silberturm	Frankfurt	m (ft)	32	1978
40=	Tour Carpe Diem	Paris	m (ft)	34	2013
43=	Tour Part-Dieu	Lyon	m (ft)	42	1977
43=	Maastoren	Rotterdam	m (ft)	44	2009
43=	Torre Iberdrola	Bilbao	m (ft)	41	2011
46	InterContinental Warsaw	Warsaw	m (ft)	45	2003
47	Post Tower	Bonn	m (ft)	41	2002
48=	Cœur Défense	Paris	m (ft)	40	2001
48=	Broadgate Tower	London	m (ft)	33	2009
