Driver	Constructor	Laps	Time/Retired	Grid
Kimi Räikkönen	Ferrari	59	1:21:43.074	2
Fernando Alonso	McLaren - Mercedes	59	+2.459	3
Lewis Hamilton	McLaren - Mercedes	59	+39.373	1
Robert Kubica	BMW Sauber	59	+53.319	5
Felipe Massa	Ferrari	59	+54.063	4
Nick Heidfeld	BMW Sauber	59	+56.336	9
Heikki Kovalainen	Renault	58	+1 lap	7
Giancarlo Fisichella	Renault	58	+1 lap	8
Rubens Barrichello	Honda	58	+1 lap	14
Jenson Button	Honda	58	+1 lap	18
David Coulthard	Red Bull - Renault	58	+1 lap	12
Nico Rosberg	Williams - Toyota	58	+1 lap	17
Alexander Wurz	Williams - Toyota	58	+1 lap	13
Takuma Sato	Super Aguri - Honda	57	+2 laps	21
Christijan Albers	Spyker - Ferrari	57	+2 laps	22
Vitantonio Liuzzi	Toro Rosso - Ferrari	53	Gearbox	16
Jarno Trulli	Toyota	43	Handling	10
Anthony Davidson	Super Aguri - Honda	35	Mechanical	19
Scott Speed	Toro Rosso - Ferrari	29	Collision	15
Ralf Schumacher	Toyota	22	Wheel	6
Adrian Sutil	Spyker - Ferrari	16	Engine	20
Mark Webber	Red Bull - Renault	8	Hydraulics	11
