Goal	Date	Score	Result	Competition
1.	28 January 2000	2–0	3–0	2000 Africa Cup of Nations
2.	6 February 2000	1–0	2–1	2000 Africa Cup of Nations
3.	10 February 2000	2–0	3–0	2000 Africa Cup of Nations
4.	13 February 2000	0–1	2–2	2000 Africa Cup of Nations
5.	19 April 2000	3–0	3–0	2002 FIFA World Cup qualifier
6.	28 January 2001	0–1	0–2	2002 FIFA World Cup qualifier
7.	1 July 2001	1–0	2–0	2002 FIFA World Cup qualifier
8.	7 January 2002	1–0	3–1	Friendly
9.	29 January 2002	2–0	3–0	2002 Africa Cup of Nations
10.	27 March 2002	1–1	2–2	Friendly
11.	26 May 2002	0–1	2–2	Friendly
12.	6 June 2002	1–0	1–0	2002 FIFA World Cup
13.	27 March 2003	2–0	2–0	Tunis Tournament
14.	19 June 2003	0–1	0–1	2003 FIFA Confederations Cup
15.	8 February 2004	1–2	1–2	2004 Africa Cup of Nations
16.	6 June 2004	1–1	2–1	2006 FIFA World Cup qualifier
17.	4 July 2004	1–0	2–0	2006 FIFA World Cup qualifier
18.	15 September 2004	3–2	3–2	2006 FIFA World Cup qualifier
19.	4 June 2005	0–4	1–4	2006 FIFA World Cup qualifier
20.	21 January 2006	1–0	3–1	2006 Africa Cup of Nations
21.	21 January 2006	2–1	3–1	2006 Africa Cup of Nations
22.	21 January 2006	3–1	3–1	2006 Africa Cup of Nations
23.	25 January 2006	1–0	2–0	2006 Africa Cup of Nations
24.	29 January 2006	2–0	2–0	2006 Africa Cup of Nations
25.	3 June 2007	0–2	1–2	2008 Africa Cup of Nations qualifier
26.	22 January 2008	3–1	4–2	2008 Africa Cup of Nations
27.	22 January 2008	4–2	4–2	2008 Africa Cup of Nations
28.	26 January 2008	4–0	5–1	2008 Africa Cup of Nations
29.	30 January 2008	1–0	3–0	2008 Africa Cup of Nations
30.	30 January 2008	3–0	3–0	2008 Africa Cup of Nations
31.	31 May 2008	2–0	2–0	2010 FIFA World Cup qualifier
32.	8 June 2008	0–2	3–0	2010 FIFA World Cup qualifier
33.	21 June 2008	1–0	2–1	2010 FIFA World Cup qualifier
34.	21 June 2008	2–1	2–1	2010 FIFA World Cup qualifier
35.	11 October 2008	1–0	5–0	2010 FIFA World Cup qualifier
36.	11 October 2008	2–0	5–0	2010 FIFA World Cup qualifier
37.	11 February 2009	2–1	3–1	Friendly
38.	11 February 2009	3–1	3–1	Friendly
39.	5 September 2009	0–2	0–2	2010 FIFA World Cup qualifier
40.	9 September 2009	2–0	2–1	2010 FIFA World Cup qualifier
41.	14 November 2009	0–2	0–2	2010 FIFA World Cup qualifier
42.	17 January 2010	2–1	3–2	2010 Africa Cup of Nations
43.	21 January 2010	1–1	2–2	2010 Africa Cup of Nations
44.	19 June 2010	1–0	1–2	2010 FIFA World Cup
45.	24 June 2010	1–1	1–2	2010 FIFA World Cup
46.	11 August 2010	0–1	0–3	Friendly
47.	11 August 2010	0–2	0–3	Friendly
48.	4 September 2010	0–1	1–3	2012 Africa Cup of Nations qualifier
49.	4 September 2010	1–2	1–3	2012 Africa Cup of Nations qualifier
50.	3 September 2011	3–0	6–0	2012 Africa Cup of Nations qualifier
51.	7 October 2011	1–1	2–3	2012 Africa Cup of Nations qualifier
52.	11 November 2011	3–1	3–1	2011 LG Cup (Morocco)
53.	13 November 2011	0–1	1–1	2011 LG Cup (Morocco)
54.	23 March 2013	1–0	2–1	2014 FIFA World Cup qualifier
55.	23 March 2013	2–1	2–1	2014 FIFA World Cup qualifier
