Series Ep.	Episode	Netflix	Segment A	Segment B	Segment C	Segment D
16-01	196	S08E14	Millefiori Glass Paperweights	Road Salt	s Nutcracker	Car Doors
16-02	197	S08E15	Straight Razors	Black Pudding	Steering Wheels	Inorganic Pigments
16-03	198	S08E16	Cast Iron Cookware	Biodiesel	Clothes Hangers	Stone Wool Insulation
16-04	199	S08E17	Needles & Pins	Architectural Mouldings	s Locomotive	s Clothespin
16-05	200	S08E18	Filigree Glass	Fish Food	s Motor Home (Part 1)	s Motor Home (Part 2)
16-06	201	S08E19	Surgical Instruments	Ketchup	Double-Decker Buses	Walking Sticks
16-07	202	S08E20	Audio Vacuum Tubes	Light Bars	Wood Model Aircraft	Metal s Snare Drum
16-08	203	S08E21	Kitchen Accessories	Central Vacuums	Papier-Mâché Animals	Hydraulic Cylinders
16-09	204	S08E22	Clay Liquor Jugs	Poultry Deli Meats	NASCAR Engines (Part 1)	NASCAR Engines (Part 2)
16-10	205	S08E23	Digital Dentistry	s Nail Clipper	Poster Restoration	Canola Oil
16-11	206	S08E24	Dial Thermometers	Hummus	Spent Fuel Containers	Straw s Sombrero
16-12	207	S08E25	Tequila	s Waterbed	s Flip Flop	Silver
16-13	208	S08E26	Composite Propane Cylinders	Salsa	Water-Pumping s Windmill	Dragsters
