Team	Outgoing manager	Manner of departure	Date of vacancy	Replaced by	Date of appointment
Ferencváros	Craig Short	Contract expired	Summer 2010	László Prukner	4 June 2010
Kaposvár	László Prukner	Resigned	2 June 2010	Tibor Sisa	12 June 2010
Siófok	Károly Horváth	Missing Pro Licence	Summer 2010	István Mihalecz	13 July 2010
Haladás	Antal Róth	Mutual agreement	23 July 2010	Aurél Csertői	23 July 2010
Kecskemét	István Urbányi	Mutual agreement	27 September 2010	Tomislav Sivić	14 October 2010
Szolnok	Attila Vágó	Mutual agreement	4 October 2010	Antal Simon	18 October 2010
Vasas	Giovanni Dellacasa	Mutual agreement	6 October 2010	András Komjáti	7 October 2010
Haladás	Aurél Csertői	Sacked	16 October 2010	Zoltán Aczél	17 October 2010
Honvéd	Massimo Morales	Resigned	13 November 2010	Attila Supka	1 January 2011
Debrecen	András Herczeg	Contract expired	20 December 2010	Zdeněk Ščasný	30 December 2010
Győr	Attila Pintér	Mutual agreement	6 March 2011	Aurél Csertői	7 March 2011
