Spacecraft	Destination	Launched	Closest approach	Time elapsed
Venera 1	Venus	12 February 1961	19 May 1961	97 days (3 months, 8 days)
Mariner 2	Venus	27 August 1962	14 December 1962	110 days (3 months, 18 days)
Mars 1	Mars	1 November 1962	19 June 1963	231 days (7 months, 19 days)
Zond 1	Venus	2 April 1964	14 July? 1964	104 days (3 months, 13 days)
Mariner 4	Mars	28 November 1964	15 July 1965	230 days (7 months, 18 days)
Zond 2	Mars	30 November 1964	6 August 1965	250 days (8 months, 8 days)
Venera 2	Venus	12 November 1965	27 February 1966	108 days (3 months, 16 days)
Mariner 5	Venus	14 June 1967	19 October 1967	128 days (4 months, 6 days)
Mariner 6	Mars	24 February 1969	31 July 1969	158 days (5 months, 8 days)
Mariner 7	Mars	27 February 1969	5 August 1969	160 days (5 months, 10 days)
