Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Newcastle Emlyn RFC	22	19	0	3	461	279	50	28	7	3	86
Llandeilo RFC	22	16	0	6	539	321	70	39	8	4	76
Crymych RFC	22	16	0	6	469	338	59	40	6	3	73
Gorseinon RFC	22	14	1	7	500	366	64	45	8	3	69
Laugharne RFC	22	11	0	11	505	399	68	45	6	8	58
Morriston RFC	22	10	0	12	459	429	61	50	6	6	52
Haverfordwest RFC	22	9	0	13	472	517	62	68	7	5	48
Lampeter Town RFC	22	9	1	12	382	436	44	53	3	4	45
Llanelli Wanderers RFC	22	9	0	13	396	522	47	65	4	3	43
Penclawdd RFC	22	8	0	14	302	395	29	45	2	8	42
Cardigan RFC	22	7	2	13	368	386	44	45	4	6	42
Llanybydder RFC	22	2	0	20	211	676	23	98	0	3	11
