Name	Height	Weight	Spike	2008 club
Paola Croce Category:Articles with hCards	m ()	kg (lb)	cm (in)	Volley Bergamo
Nadia Centoni Category:Articles with hCards	m ()	kg (lb)	cm (in)	RC Cannes
Martina Guiggi Category:Articles with hCards	m ()	kg (lb)	cm (in)	Scavolini Pesaro
Jenny Barazza Category:Articles with hCards	m ()	kg (lb)	cm (in)	Volley Bergamo
Manuela Secolo Category:Articles with hCards	m ()	kg (lb)	cm (in)	Famila Chieri
Paola Cardullo Category:Articles with hCards	m ()	kg (lb)	cm (in)	Asystel Novara
Serena Ortolani Category:Articles with hCards	m ()	kg (lb)	cm (in)	Yamamay Busto Arsizio
Francesca Piccinini Category:Articles with hCards	m ()	kg (lb)	cm (in)	Volley Bergamo
Francesca Ferretti Category:Articles with hCards	m ()	kg (lb)	cm (in)	Scavolini Pesaro
Eleonora Lo Bianco Category:Articles with hCards	m ()	kg (lb)	cm (in)	Volley Bergamo
Taismary Agüero Category:Articles with hCards	m ()	kg (lb)	cm (in)	Türk Telekom Ankara
Simona Gioli Category:Articles with hCards	m ()	kg (lb)	cm (in)	Despar Sirio Perugia
