Date	Opponent	Score	Loss	Attendance	Record
May 1	@ Indians	4 - 3	Candiotti (3-1)	5,111	13-9
May 2	@ Indians	3 - 0	Cerutti (1-4)	8,801	13-10
May 4	Tigers	3 - 1	Flanagan (2-2)	49,146	13-11
May 5	Tigers	5 - 1	Robinson (1-3)	49,219	14-11
May 6	Tigers	11 - 7	Dubois (0-1)	49,206	15-11
May 7	White Sox	6 - 1	McDowell (1-2)	41,384	16-11
May 8	White Sox	4 - 1	Cerutti (1-5)	41,101	16-12
May 9	White Sox	4 - 3	Edwards (0-1)	43,128	17-12
May 10	@ Tigers	10 - 5	Stottlemyre (4-3)	11,296	17-13
May 11	@ Tigers	4 - 2	Dubois (0-2)	17,376	18-13
May 12	@ Tigers	Postponed (rain) Rescheduled for May 14	Postponed (rain) Rescheduled for May 14	Postponed (rain) Rescheduled for May 14	Postponed (rain) Rescheduled for May 14
May 13	@ Tigers	6 - 3	Morris (2-5)	17,068	19-13
May 14	@ Tigers	8 - 3 (10)	Henneman (0-3)	10,833	20-13
May 15	Mariners	4 - 3 (10)	Acker (0-1)	41,108	20-14
May 16	Mariners	4 - 2	Stottlemyre (4-4)	45,640	20-15
May 17	Mariners	14 - 6	Key (4-2)	47,283	20-16
May 18	Angels	4 - 2	Stieb (5-2)	49,339	20-17
May 19	Angels	11 - 9	Ward (1-1)	49,335	20-18
May 20	Angels	5 - 1	Langston (3-4)	49,421	21-18
May 21	Athletics	4 - 1	Stottlemyre (4-5)	49,471	21-19
May 22	Athletics	5 - 4	Wills (3-2)	49,559	21-20
May 23	@ Angels	5 - 4	Ward (1-2)	25,179	21-21
May 24	@ Angels	4 - 3 (11)	Henke (0-1)	24,460	21-22
May 25	@ Mariners	3 - 1 (11)	Swift (2-2)	15,334	22-22
May 26	@ Mariners	11 - 4	Holman (6-3)	25,004	23-22
May 27	@ Mariners	5 - 1	Johnson (3-3)	25,858	24-22
May 28	@ Athletics	1 - 0	Moore (4-4)	45,005	25-22
May 29	@ Athletics	2 - 1	Stewart (8-2)	25,255	26-22
May 30	@ Athletics	8 - 5	Blair (0-1)	24,257	26-23
