Outcome	Date	Tournament	Surface	Partnering	Opponent	Score
Runner-up	17 September 1984	Tel Aviv , Israel	Hard	Colin Dowdeswell	Peter Doohan Brian Levine	3–6, 4–6
Winner	14 October 1985	Toulouse , France	Hard (i)	Ricardo Acuña	Pavel Složil Tomáš Šmíd	3–6, 6–2, 9–7
Runner-up	25 November 1985	Hong Kong	Hard	Tomáš Šmíd	Brad Drewett Kim Warwick	3–6, 6–4, 2–6
Winner	21 April 1986	Nice , France	Clay	Pavel Složil	Gary Donnelly Colin Dowdeswell	6–3, 4–6, 11–9
Runner-up	13 October 1986	Toulouse, France	Hard (i)	Pavel Složil	Miloslav Mečíř Tomáš Šmíd	2–6, 6–3, 4–6
Winner	9 November 1987	Paris , France	Carpet	Claudio Mezzadri	Scott Davis David Pate	7–6, 6–2
Winner	10 October 1988	Basel , Switzerland	Hard (i)	Tomáš Šmíd	Jeremy Bates Peter Lundgren	6–3, 6–1
Winner	20 February 1989	Milan , Italy	Carpet	John McEnroe	Heinz Günthardt Balázs Taróczy	6–3, 6–4
Runner-up	27 February 1989	Lyon , France	Carpet	John McEnroe	Eric Jelen Michael Mortensen	2–6, 6–3, 3–6
Winner	20 March 1989	Indian Wells , US	Hard	Boris Becker	Kevin Curren David Pate	7–6, 7–5
Winner	3 April 1989	Miami , US	Hard	Anders Järryd	Jim Grabb Patrick McEnroe	6–3, ret.
Runner-up	6 November 1989	Paris, France	Carpet	Eric Winogradsky	John Fitzgerald Anders Järryd	6–7, 4–6
Winner	13 November 1989	Wembley , England	Carpet	John McEnroe	Jeremy Bates Kevin Curren	6–1, 7–6
Winner	26 February 1990	Stuttgart Indoor , Germany	Carpet	Guy Forget	Michael Mortensen Tom Nijssen	6–3, 6–2
Winner	18 June 1990	Rosmalen , Netherlands	Grass	Michael Stich	Jim Grabb Patrick McEnroe	7–6, 6–3
Winner	27 August 1990	Long Island , US	Hard	Guy Forget	Udo Riglewski Michael Stich	2–6, 6–3, 6–4
Winner	15 October 1990	Tokyo Indoor , Japan	Carpet	Guy Forget	Scott Davis David Pate	7–6, 7–5
Winner	29 October 1990	Stockholm , Sweden	Carpet	Guy Forget	John Fitzgerald Anders Järryd	6–4, 6–2
Winner	25 November 1990	Doubles Championships , Sanctuary Cove	Hard	Guy Forget	Emilio Sánchez Sergio Casal	6–4, 7–6, 5–7, 6–4
Runner-up	15 July 1991	Gstaad , Switzerland	Clay	Guy Forget	Gary Muller Danie Visser	6–7, 4–6
Winner	30 September 1991	Basel, Switzerland	Hard (i)	Patrick McEnroe	Petr Korda John McEnroe	3–6, 7–6, 7–6
Runner-up	21 October 1991	Vienna , Austria	Carpet	Patrick McEnroe	Anders Järryd Gary Muller	4–6, 5–7
Runner-up	17 February 1992	Brussels , Belgium	Carpet	Guy Forget	Boris Becker John McEnroe	3–6, 2–6
Winner	18 May 1992	Rome , Italy	Clay	Marc Rosset	Wayne Ferreira Mark Kratzmann	6–4, 3–6, 6–1
Winner	8 June 1992	French Open , Paris	Clay	Marc Rosset	David Adams Andrei Olhovskiy	7–6, 6–7, 7–5
Winner	26 October 1992	Lyon, France	Carpet	Marc Rosset	Neil Broad Stefan Kruger	6–1, 6–3
Runner-up	2 May 1994	Madrid , Spain	Clay	Jean-Philippe Fleurian	Rikard Bergh Menno Oosting	3–6, 4–6
Runner-up	25 July 1994	Washington , US	Hard	Jonas Björkman	Grant Connell Patrick Galbraith	4–6, 6–4, 3–6
Winner	24 October 1994	Lyon, France	Carpet	Yevgeny Kafelnikov	Martin Damm Patrick Rafter	6–7, 7–6, 7–6
Runner-up	27 March 1995	St. Petersburg , Russia	Carpet	Yevgeny Kafelnikov	Martin Damm Anders Järryd	4–6, 2–6
Runner-up	16 October 1995	Tokyo Indoor, Japan	Carpet	Patrick McEnroe	Jacco Eltingh Paul Haarhuis	6–7, 4–6
Winner	23 October 1995	Lyon, France	Carpet	Yevgeny Kafelnikov	John-Laffnie de Jager Wayne Ferreira	6–3, 6–3
Runner-up	4 March 1996	Milan, Italy	Carpet	Guy Forget	Andrea Gaudenzi Goran Ivanišević	4–6, 5–7
Runner-up	13 May 1996	Hamburg , Germany	Clay	Guy Forget	Mark Knowles Daniel Nestor	2–6, 4–6
Runner-up	10 June 1996	French Open, Paris	Clay	Guy Forget	Yevgeny Kafelnikov Daniel Vacek	2–6, 3–6
