Date	Tournament	Surface	Opponent	Score
9 August 2004	Cordenons	Clay	Daniel Köllerer	4–6, 6–4, 6–3
12 May 2008	Aarhus	Clay	Éric Prodon	7–5, 7–5
1 September 2008	Brasov	Clay	Alexander Flock	4–6, 6–4, 6–4
14 September 2009	Banja Luka	Clay	Julian Reister	6–4, 6–1
5 October 2009	Tarragona	Clay	Paolo Lorenzi	6–4, 6–0
2 August 2010	Segovia	Hard	Adrian Mannarino	6–4, 7–6 (7–2)
11 September 2011	Sevilla	Clay	Rubén Ramírez Hidalgo	6–3, 6–3
17 June 2012	Monza	Clay	Albert Montañés	6–2, 4–6, 6–4
10 September 2012	Sevilla	Clay	Tommy Robredo	6–3, 6–2
30 September 2012	Madrid	Clay	Jan-Lennard Struff	6–4, 6–2
2 September 2013	Alphen aan den Rijn	Clay	Thomas Schoorel	6-2, 6-4
10 September 2013	Sevilla	Clay	Stephane Robert	6-4, 7-6 (7–2)
