Main contestant	Co-contestant (Yaar vs. Pyaar)	Date performed	Scores by each individual judge	Total score/week	Position	Status
Hiten Tejwani	Gauri Pradhan	July 24	5 + 5 + 5 = 15	37/60	Bottom 2	Eliminated
Hiten Tejwani	Nandini Singh	July 24	7 + 7 + 8 = 22	37/60	Bottom 2	Eliminated
Kashmira Shah	Krushna Abhishek	July 23	10 + 10 + 10 = 30	48/60	Top 2	Current
Kashmira Shah	Mukul Dev	July 24	5 + 6 + 7 = 18	48/60	Top 2	Current
Vishal Singh	Pranita Sahu	July 23	5 + 6 + 4 = 15	38/60	Bottom 2	Current
Vishal Singh	Dimple Jhangiani	July 24	7 + 8 + 8 = 23	38/60	Bottom 2	Current
Karanvir Bohra	Teejay Sidhu	July 23	8 + 8 + 9 = 25	46/60	Top 2	Current
Karanvir Bohra	Tina Parekh	July 24	8 + 7 + 7 = 21	46/60	Top 2	Current
Jatin Shah	Priya Bhatija	July 23	5 + 8 + 8 = 21	40/60	Safe	Current
Jatin Shah	Shalini Chandran	July 24	6 + 6 + 7 = 19	40/60	Safe	Current
Mridul Singhvi	Tina Sachdev	July 23	7 + 7 + 7 = 21	42/60	Safe	Current
Mridul Singhvi	Wasna Ahmed	July 24	7 + 7 + 7 = 21	42/60	Safe	Current
