No.1	No.2	No.3	No.4	No.5	Intruder	No.6	No.7	No.8	No.9	FINAL
No Nominations	Telmo Susana	Telmo Célia	Marco Maria João	Célia Telmo	Carla	Célia Paulo	Célia Susana	Mário Telmo	Telmo Célia	Winner (Day 120)
No Nominations	Marco Ricardo V.	Marco Maria João	Célia Sónia	Célia Sónia	Carla	Mário Paulo	Marta Mário	Mário Telmo	Célia Telmo	Runner-Up (Day 120)
No Nominations	Maria João Ricardo V.	Zé Maria Susana	Sónia Zé Maria	Marta Zé Maria	Carla	Marta Paulo	Marta Zé Maria	Mário Zé Maria	Zé Maria Susana	Third place (Day 120)
No Nominations	Ricardo V. Susana	Zé Maria Ricardo A.	Maria João Zé Maria	Marta Sónia	Carla	Marta Susana	Marta Susana	Susana Zé Maria	Zé Maria Susana	Evicted (Day 115)
No Nominations	Ricardo V. Maria João	Zé Maria Sónia	Maria João Zé Maria	Célia Sónia	Carla	Célia Susana	Susana Zé Maria	Célia Zé Maria	Evicted (Day 101)	Evicted (Day 101)
No Nominations	Ricardo V. Telmo	Ricardo A. Célia	Susana Zé Maria	Susana Telmo	Paulo	Paulo Telmo	Célia Telmo	Evicted (Day 87)	Evicted (Day 87)	Evicted (Day 87)
Not in House	Not in House	Not in House	Not in House	Not in House	Nominated	Marta Telmo	Evicted (Day 73)	Evicted (Day 73)	Evicted (Day 73)	Evicted (Day 73)
Not in House	Not in House	Not in House	Not in House	Not in House	Nominated	Evicted (Day 59)	Evicted (Day 59)	Evicted (Day 59)	Evicted (Day 59)	Evicted (Day 59)
No Nominations	Zé Maria Ricardo V.	Zé Maria Célia	Maria João Zé Maria	Susana Zé Maria	Evicted (Day 52)	Evicted (Day 52)	Evicted (Day 52)	Evicted (Day 52)	Evicted (Day 52)	Evicted (Day 52)
No Nominations	Ricardo V. Sónia	Zé Maria Susana	Maria João Susana	Sónia Susana	Ejected (Day 47)	Ejected (Day 47)	Ejected (Day 47)	Ejected (Day 47)	Ejected (Day 47)	Ejected (Day 47)
No Nominations	Zé Maria Marco	Ricardo A. Zé Maria	Mário Zé Maria	Evicted (Day 38)	Evicted (Day 38)	Evicted (Day 38)	Evicted (Day 38)	Evicted (Day 38)	Evicted (Day 38)	Evicted (Day 38)
No Nominations	Marco Célia	Telmo Maria João	Evicted (Day 24)	Evicted (Day 24)	Evicted (Day 24)	Evicted (Day 24)	Evicted (Day 24)	Evicted (Day 24)	Evicted (Day 24)	Evicted (Day 24)
No Nominations	Mário Telmo	Evicted (Day 10)	Evicted (Day 10)	Evicted (Day 10)	Evicted (Day 10)	Evicted (Day 10)	Evicted (Day 10)	Evicted (Day 10)	Evicted (Day 10)	Evicted (Day 10)
No Nominations	Evicted (Day 3)	Evicted (Day 3)	Evicted (Day 3)	Evicted (Day 3)	Evicted (Day 3)	Evicted (Day 3)	Evicted (Day 3)	Evicted (Day 3)	Evicted (Day 3)	Evicted (Day 3)
All housemates	Marco Ricardo V. Telmo	Célia Ricardo A. Zé Maria	Maria João Zé Maria	Célia Sónia Susana	Carla Paulo	Marta Paulo	Marta Susana	Mário Zé Maria	Célia Susana Telmo Zé Maria	Célia Susana Zé Maria
Riquita	Ricardo V.	Ricardo A.	Maria João	Sónia	Carla	Paulo	Marta	Mário	Telmo	Célia
Riquita	Ricardo V.	Ricardo A.	Maria João	Sónia	Carla	Paulo	Marta	Mário	Telmo	Susana
Riquita	Ricardo V.	Ricardo A.	Maria João	Sónia	Carla	Paulo	Marta	Mário	Telmo	Zé Maria
