Club	City	Stadium	Capacity	2007–08 season
Bassano Virtus 55 S.T.	Bassano del Grappa	Stadio Rino Mercante	3,900	2nd in Serie C2/B
A.C. Bellaria Igea Marina	Bellaria-Igea Marina	Stadio Enrico Nanni	2,500	7th in Serie C2/B
Carrarese Calcio	Carrara	Stadio dei Marmi	15,000	13th in Serie C2/B
Celano F.C. Olimpia	Celano	Stadio Comunale	3,200	5th in Serie C2/C
A.S. Cisco Calcio Roma	Rome	Stadio Flaminio	25,000	9th in Serie C2/C
V.F. Colligiana	Colle di Val d'Elsa	Stadio Gino Manni	3,000	2nd in Serie D/E
Cuoiopelli Cappiano R.	Santa Croce sull'Arno	Stadio Libero Masini	3,350	11th in Serie C2/B
A.S. Figline	Figline Valdarno	Stadio Goffredo Del Buffa	1,700	1st Serie D/E
A.C. Giacomense	Masi Torello (playing in Ferrara )	Stadio Paolo Mazza	19,000	1st Serie D/D
Giulianova Calcio	Giulianova	Stadio Rubens Fadini	5,625	12th in Serie C2/B
A.S. Gubbio 1910	Gubbio	Stadio Polisportivo San Biagio	5,000	10th in Serie C2/B
U.S. Poggibonsi	Poggibonsi	Stadio Stefano Lotti	3,621	6th in Serie C2/B
A.C. Prato	Prato	Stadio Lungobisenzio	6,800	9th in Serie C2/B
Rovigo Calcio	Rovigo	Stadio Francesco Gabrielli	3,200	16th in Serie C2/B
San Marino Calcio	Serravalle, San Marino	Stadio Olimpico	7,000	5th in Serie C2/B
A.C. Sangiovannese 1927	San Giovanni Valdarno	Stadio Virgilio Fedini	3,800	17th in Serie C1/B
A.C. Sangiustese	Monte San Giusto	Stadio Villa San Filippo	1,487	1st Serie D/F
F.C. Esperia Viareggio	Viareggio	Stadio dei Pini	4,700	14th in Serie C2/B
