Player	Position	Date of Birth (Age)	Caps	Club/province
Aleki Lutui	Hooker	1 July 1978	21	Worcester
Ephraim Taukafa	Hooker	26 June 1976	19	Lyon
Taufa'ao Filise	Prop	26 May 1977	14	Cardiff Blues
Sateki Mata'u	Prop	5 December 1979	1	Chalon-sur-Saône
Kisi Pulu	Prop	31 January 1978	15	Perpignan
Toma Toke	Prop	20 June 1985	5	Tau'uta Reds
Soane Tonga'uiha	Prop	21 January 1982	3	Northampton Saints
Inoke Afeaki	Lock	12 July 1973	20	Grenoble
Lisiate Fa'aoso	Lock	18 March 1983	6	Manawatu
Paino Hehea	Lock	1 February 1979	6	Racing Métro
Emosi Kauhenga	Lock	27 April 1981	4	Tau'uta Reds
Nili Latu ( c )	Flanker	19 February 1982	12	Green Rockets
Maama Molitika	Flanker	26 August 1974	15	Cardiff Blues
Hale T-Pole	Flanker	30 April 1979	6	Ospreys
Viliami Vaki	Flanker	27 April 1976	25	Perpignan
Lotu Filipine	Number 8	27 August 1980	5	Big Blue
Finau Maka	Number 8	11 July 1977	4	Toulouse
Soane Havea	Scrum-half	29 August 1981	16	Tautahi Gold
Enele Taufa	Scrum-half	24 September 1984	0	Tau'uta Reds
Sione Tu'ipulotu	Scrum-half	28 November 1978	23	Yokogawa
Pierre Hola	Fly-half	9 June 1978	27	Kobelco Steelers
Suka Hufanga	Centre	18 June 1982	12	Brive
Epi Taione	Centre	2 March 1979	11	Sharks
Hudson Tonga'uiha	Centre	16 November 1983	15	Cergy-Pontoise
Isileli Tupou	Centre	26 October 1984	6	Tau'uta Reds
Aisea Havili	Wing	11 March 1977	11	Worcester
Ualosi Kailea	Wing	28 October 1978	0	Tau'uta Reds
Seti Kiole	Wing	7 June 1980	8	Montauban
Tevita Tu'ifua	Wing	15 October 1975	11	Counties Manukau
Joseph Vaka	Wing	21 November 1980	4	Tautahi Gold
Vunga Lilo	Fullback	28 February 1983	3	Cornish Pirates
