Name	Team	Laps	Time/Retired	Grid	Points
Garth Tander	Holden Racing Team	31	50:19.8503	1	100
Will Davison	Jim Beam Racing	31	+ 6.4s	6	92
Jamie Whincup	Team Vodafone	31	+ 7.2s	4	86
Rick Kelly	HSV Dealer Team	31	+ 9.4s	3	80
James Courtney	Stone Brothers Racing	31	+ 10.9s	7	74
Mark Skaife	Holden Racing Team	31	+ 14.0s	2	68
Craig Lowndes	Team Vodafone	31	+ 14.6s	11	64
Lee Holdsworth	Garry Rogers Motorsport	31	+ 15.8s	8	60
Greg Murphy	Tasman Motorsport	31	+ 19.3s	13	56
Mark Winterbottom	Ford Performance Racing	31	+ 19.6s	15	52
Russell Ingall	Supercheap Auto Racing	31	+ 37.3s	22	48
Jason Richards	Tasman Motorsport	31	+ 38.6s	12	46
Todd Kelly	Jack Daniel's Racing	31	+ 41.8s	18	44
Fabian Coulthard	Glenfords Racing	31	+ 44.9s	14	42
Cameron McConville	Brad Jones Racing	31	+ 47.2s	5	40
Paul Dumbrell	HSV Dealer Team	31	+ 36.5s	9	38
Shane Van Gisbergen	Stone Brothers Racing	31	+ 47.5s	10	36
Paul Morris	Team Sirromet Wines	31	+ 40.2s	25	34
Shane Price	Jack Daniel's Racing	31	+ 48.5s	20	32
Jason Bright	Britek Motorsport	31	+ 50.2s	17	30
Steven Johnson	Jim Beam Racing	31	+ 50.3s	16	28
Andrew Jones	Brad Jones Racing	31	+ 52.8s	21	26
Tony D'Alberto	Rod Nash Racing	31	+ 53.8s	24	24
Andrew Thompson	Paul Weel Racing	31	+ 72.4s	26	22
Michael Caruso	Garry Rogers Motorsport	31	+ 88.7s	23	20
Marcus Marshall	Britek Motorsport	30	+ 1 lap	28	18
Steven Richards	Ford Performance Racing	30	+ 1 lap	19	16
Chris Pither	Team Kiwi Racing	30	+ 1 lap	27	14
