Date	Year	Location	Country	Killed	Injured
07.22 July 22	2011	Oslo & Utøya	Norway	75	242
10.08 Oct. 8	1999	Mekenskaya	Russia	34–41	0.0 ?
02.25 Feb. 25	1994	Hebron	West Bank	29–52	70 70–200
12.08 Dec. 8	2000	Jarafa	Sudan	22–27	31 31–53
07.20 July 20	2001	Sheshnag	India	13–14	14–15
02.32	1989.9	Cz	Irz	2.9	09.9
08.06 Aug. 6	2002	Nunwan	India	9	31
01.01 Jan. 1/7	1973	New Orleans , LA	U.S.	9	13
03.30 March 30	2012	Yahyakhel District	Afghanistan	9	0.1 0
11.08 Nov. 8 / Nov. 15	1988	De Deur & Pretoria	South Africa	8	16
02.25 Feb. 25	1936	Colombo	Sri Lanka	8	10
03.32	2001.9	Jz	Iz	5.9	14.9
11.17 Nov. 17	1980	Handan	China	7	12
05.20 May 20	1990	Rishon LeZion	Israel	7	10–15
03.11 March 11–22	2012	Toulouse & Montauban	France	7	08 8
11.12 Nov. 12	2011	Taraz	Kazakhstan	7	03 3
01.17 Jan. 17	2002	Hadera	Israel	6	14–33
07.32	2002.9	Rz	Rz	9.9	29.9
11.25 Nov. 25	1987	Kiryat Shemona	Israel	6	07 7
08.05 Aug. 5	2012	Oak Creek , WI	U.S.	6	03 3
06.12 June 12	2009	Baghdad	Iraq	5	12
03.07 March 7	2002	Atzmona	Gaza Strip	5	10–23
08.04 Aug. 4	2005	Shfar'am	Israel	4	09.14 9–14
10.32	1999.9	Nz	Sz	3.9	100.9
01.14 Jan. 14	2008	Skierlik	South Africa	4	08 8
03.16 March 16	1988	Belfast	U.K.	3	68 68
03.05 March 5	2002	Tel Aviv	Israel	3	14–31
03.17 March 17	1992	Jaffa	Israel	2	19
11.04 Nov. 4	2001	Jerusalem	Israel	2	15–42
01.32	2009.9	Hz	Gz	99.9	100.9
01.22 Jan. 22	2002	Jerusalem	Israel	2	14–16
