Race Title	Circuit	City / State	Date	Winner	Team	Report
Clipsal 500	Adelaide Street Circuit	Adelaide , South Australia	21–24 February	Jamie Whincup	Triple Eight Race Engineering	report
Eastern Creek	Eastern Creek Raceway	Sydney , New South Wales	7–9 March	Will Davison	Dick Johnson Racing	report
Hamilton 400	Hamilton Street Circuit	Hamilton , New Zealand	18–20 April	Garth Tander	Holden Racing Team	report
BigPond 400	Barbagallo Raceway	Wanneroo , Western Australia	9–11 May	Mark Winterbottom	Ford Performance Racing	report
Midas 400	Sandown Raceway	Melbourne , Victoria	7–9 June	Jamie Whincup	Triple Eight Race Engineering	report
Skycity Triple Crown	Hidden Valley Raceway	Darwin , Northern Territory	4–6 July	Steven Richards	Ford Performance Racing	report
City of Ipswich 400	Queensland Raceway	Ipswich , Queensland	18–20 July	Mark Winterbottom	Ford Performance Racing	report
Winton	Winton Motor Raceway	Benalla , Victoria	1–3 August	Garth Tander	Holden Racing Team	report
L&H 500	Phillip Island Grand Prix Circuit	Phillip Island , Victoria	12–14 September	Garth Tander Mark Skaife	Holden Racing Team	report
Supercheap Auto Bathurst 1000	Mount Panorama Circuit	Bathurst , New South Wales	9–12 October	Craig Lowndes Jamie Whincup	Triple Eight Race Engineering	report
The Coffee Club V8 Supercar Challenge	Surfers Paradise Street Circuit	Surfers Paradise , Queensland	23–26 October	Jamie Whincup	Triple Eight Race Engineering	report
Gulf Air Desert 400	Bahrain International Circuit	Manama , Bahrain	6–8 November	Jamie Whincup	Triple Eight Race Engineering	report
Falken Tasmania Challenge	Symmons Plains Raceway	Launceston , Tasmania	21–23 November	Jamie Whincup	Triple Eight Race Engineering	report
NRMA Motoring & Services Grand Finale	Oran Park Raceway	Sydney , New South Wales	4–7 December	Garth Tander	Holden Racing Team	report
