Week	Date	Opponent	Result	Kickoff Time	Attendance
1	September 7, 2003	Indianapolis Colts	L 9–6	CBS 1:00pm	73,358
2	September 14, 2003	at Baltimore Ravens	L 33–13	CBS 1:00pm	69,473
3	September 21, 2003	at San Francisco 49ers	W 13–12	CBS 4:05pm	67,412
4	September 28, 2003	Cincinnati Bengals	L 21–14	CBS 1:00pm	73,428
5	October 5, 2003	at Pittsburgh Steelers	W 33–13	ESPN 8:30pm	64,595
6	October 12, 2003	Oakland Raiders	W 13–7	CBS 1:00pm	73,318
7	October 19, 2003	San Diego Chargers	L 26–20	CBS 1:00pm	73,238
8	October 26, 2003	at New England Patriots	L 9–3	CBS 1:00pm	68,436
9	Bye	Bye	Bye	Bye	Bye
10	November 9, 2003	at Kansas City Chiefs	L 41–20	CBS 1:00pm	78,560
11	November 16, 2003	Arizona Cardinals	W 44–6	FOX 1:00pm	72,908
12	November 23, 2003	Pittsburgh Steelers	L 13–6	CBS 1:00pm	73,658
13	November 30, 2003	at Seattle Seahawks	L 34–7	CBS 4:15pm	64,680
14	December 8, 2003	St. Louis Rams	L 26–20	ABC 9:00pm	73,108
15	December 14, 2003	at Denver Broncos	L 23–20	CBS 4:05pm	75,358
16	December 21, 2003	Baltimore Ravens	L 35–0	CBS 1:00pm	72,548
17	December 28, 2003	at Cincinnati Bengals	W 22–14	CBS 1:00pm	65,362
