Week	Date	Opponent	Result	Attendance
1	September 4, 1988	at Cincinnati Bengals	L 21-14	50,404
2	September 12, 1988	Dallas Cowboys	L 17-14	67,139
3	September 18, 1988	at Tampa Bay Buccaneers	W 30-24	35,034
4	September 25, 1988	Washington Redskins	W 30-21	61,973
5	October 2, 1988	at Los Angeles Rams	W 41-27	49,830
6	October 9, 1988	Pittsburgh Steelers	W 31-14	53,278
7	October 16, 1988	at Washington Redskins	L 33-17	54,402
8	October 23, 1988	Cleveland Browns	L 29-21	61,261
9	October 30, 1988	at Dallas Cowboys	W 16-10	42,196
10	November 6, 1988	San Francisco 49ers	W 24-23	64,544
11	November 13, 1988	New York Giants	W 24-17	65,324
12	November 20, 1988	at Houston Oilers	L 38-20	43,843
13	November 27, 1988	at Philadelphia Eagles	L 31-21	57,918
14	December 4, 1988	at New York Giants	L 44-7	73,438
15	December 10, 1988	Philadelphia Eagles	L 23-17	54,832
16	December 18, 1988	Green Bay Packers	L 26-17	44,586
