Representative	Years	State	Party	Lifespan
Mark Udall	1999–2009	Colorado	Democratic	1950–
Mo Udall	1961–1991	Arizona	Democratic	1922–1998
Stewart Udall	1955–1961	Arizona	Democratic	1920–2010
Tom Udall	1999–2009	New Mexico	Democratic	1948–
Daniel Udree	1813–1815 1820–1821 1822–1825	Pennsylvania	Democratic-Republican	1751–1828
Al Ullman	1957–1981	Oregon	Democratic	1914–1986
William B. Umstead	1933–1939	North Carolina	Democratic	1895–1954
Charles L. Underhill	1921–1933	Massachusetts	Republican	1867–1946
Edwin S. Underhill	1911–1915	New York	Democratic	1861–1929
John Q. Underhill	1899–1901	New York	Democratic	1848–1907
Walter Underhill	1849–1851	New York	Whig	1795–1866
John W. H. Underwood	1859–1861	Georgia	Democratic	1816–1888
Joseph R. Underwood	1835–1843	Kentucky	Whig	1791–1876
Mell G. Underwood	1923–1936	Ohio	Democratic	1892–1972
Oscar Underwood	1895–1896 1897–1915	Alabama	Democratic	1862–1929
Thomas R. Underwood	1949–1951	Kentucky	Democratic	1898–1956
Warner Underwood	1855–1859	Kentucky	American	1808–1872
Jolene Unsoeld	1989–1995	Washington	Democratic	1931–
Jonathan T. Updegraff	1879–1882	Ohio	Republican	1822–1882
Thomas Updegraff	1879–1883 1893–1899	Iowa	Republican	1834–1910
Ralph E. Updike	1925–1929	Indiana	Republican	1894–1953
Charles Wentworth Upham	1853–1855	Massachusetts	Whig	1802–1875
George B. Upham	1801–1803	New Hampshire	Federalist	1768–1848
Jabez Upham	1807–1810	Massachusetts	Federalist	1764–1811
Nathaniel Upham	1817–1823	New Hampshire	Democratic-Republican	1774–1829
William D. Upshaw	1919–1927	Georgia	Democratic	1866–1952
Charles Upson	1863–1869	Michigan	Republican	1821–1885
Christopher C. Upson	1879–1883	Texas	Democratic	1829–1902
William H. Upson	1869–1873	Ohio	Republican	1823–1910
Charles H. Upton	1861–1862	Virginia	Unionist	1812–1877
Milton Urner	1879–1883	Maryland	Republican	1839–1926
James B. Utt	1953–1970	California	Republican	1899–1970
George H. Utter	1911–1912	Rhode Island	Republican	1854–1912
Hubert Utterback	1935–1937	Iowa	Democratic	1880–1942
John G. Utterback	1933–1935	Maine	Democratic	1872–1955
