Rank	Mine	County	Operator	Capacity (thousands of metric tons)
1	Morenci	Greenlee	Freeport-McMoRan	390
2	Ray	Pinal	ASARCO	170
3	Bagdad	Yavapai	Freeport-McMoRan	100
4	Sierrita	Pima	Freeport-McMoRan	100
5	Mission Complex	Pima	ASARCO	70
6	Silver Bell	Pima	ASARCO	22
7	Miami	Gila	Freeport-McMoRan	50
8	Pinto Valley	Gila	BHP Copper	5
9	Miami	Gila	BHP Copper	5
* (TBD)	Tohono	Pinal	Cyprus Amax Minerals	Closed
* (TBD)	Mineral Park	Mohave	Mercator Minerals	6
* (TBD)	Bisbee	Cochise	Freeport-McMoRan	Closed
* (TBD)	Safford	Graham	Freeport-McMoRan	(Opened December 2007)
