Position	Driver / Passenger	Equipment	Points	Wins	Second	Third
1	Daniël Willemsen / Sven Verbrugge	Zabel - VMC	341	13	—	—
2	Evgeny Scherbinin / Sergei Sosnovskikh	MTH -APZ	258	—	5	3
3	Marco Happich / Meinrad Schelbert *	Zabel-VMC	243	1	1	2
4	Maris Rupeiks / Haralds Kurpnieks	KTM - AYR	231	1	4	2
5	Jan Hendrickx / Tim Smeuninx	Zabel-VMC	217	—	—	1
6	Andy Burgler / Martin Betschart	KTM-VMC	211	—	2	2
7	Joris Hendrickx / Eli Piccart	KTM-AYR	180	—	—	1
8	Stuart Brown / Luke Peters	Zabel-VMC	165	—	—	1
9	Vaclav Rozehnal / Marek Rozehnal	Zabel-VMC	157	—	—	1
10	Marcel Willemsen / Bjorn Roes	Zabel-VMC	137	—	—	—
11	Josef Brustmann / Stefan Urich	KTM-NPH	117	1	—	—
12	Janis Daiders / Lauris Daiders	Zabel-VMC	115	—	—	—
13	Nicky Pulinx / Ludo Somers	KTM-AYR	113	—	—	—
14	Jarno van den Boomen / Henry van de Wiel	MTH-VMC	100	—	1	1
15	Carlo van Duijnhoven / Christian Verhagen	MTH-VMC	100	—	—	—
16	Ueli Müller / Reto Grütter	Zabel-MTH	100	—	—	—
17	Eric Schrijver / Ramon van Mil	MTH-VMC	93	—	—	—
18	Tomas Cermak / Ondrej Cermak	JAWA-VMC	68	—	—	—
19	Kristers Sergis / Kaspars Stupelis	KTM-Mefo	64	—	2	1
20	John Watson / Mark Watson	Zabel-VMC	57	—	—	—
21	Bertram Martin / Bruno Kaelin	Zabel-VMC	57	—	—	—
22	Martin Walter / Andre Saam	Zabel-VMC	54	—	—	—
23	Henrik Söderqvist / Collin Dunkley	Husaberg -VMC	52	—	1	1
24	Scott Wilkinson / Gary Burt	Zabel-VMC	52	—	—	—
25	Kristof Santermans / Patrick Nieuwenhuizen	Yamaha -VMC	47	—	—	—
26	John Lyne / Michael Turner	Zabel-VMC	26	—	—	—
27	Laurent Devoldre / Sebastian Devoldre	Husaberg-VMC	20	—	—	—
28	Thijs Derks / Roy Derks	Husaberg-BSU	17	—	—	—
29	Michael Poirier / Bertrand Poirier	KTM-VMC	14	—	—	—
30	Geert Devoldere / Guennady Auvray	Honda -EML	13	—	—	—
31	Werner Wittmann / Mario Wohlfart	Zabel-AYR	10	—	—	—
32	Andreas Clohse / Guido Schlabertz	Zabel-VMC	10	—	—	—
33	Marcel Grondman / Martijn Geerdink	Zabel-VMC	9	—	—	—
34	Roland Sutter / Sandro Michelleto	KTM-VMC	9	—	—	—
35	Patrick Fagerberg / Daniel Fagerberg	KTM-AYR	9	—	—	—
36	Wim Janssen / Henk Roenhorst	Zabel-VMC	8	—	—	—
37	Maikel Kuster / Wilfried Keuben	Zabel-VMC	8	—	—	—
38	Johan Smit / Bart Notten	Husaberg-BSU	7	—	—	—
39	Patrick Greup / Marc van Deutekom	KTM-VMC	7	—	—	—
40	Imantas Tamuliunas / Egidijus Karaliunas	KTM-AYR	6	—	—	—
41	Jens Bochmann / Stefan Progscha	Zabel-AYR	6	—	—	—
42	Jean Marie Ains / Bernard Jayet	Zabel-VMC	5	—	—	—
43	Baptiste Bigand / Julien Bigand	MTH-BSU	5	—	—	—
44	Andrus Vaks / Raimo Kaul	KTM-AYR	4	—	—	—
45	Boudewijn Gommeren / Steve van Tongerlo	KTM-AYR	4	—	—	—
46	David Keane / Andy Heighes	MTH-VMC	3	—	—	—
47	David Surcin / Landry Tessier	Zabel-VMC	3	—	—	—
48	Otomars Skreija / Gastons Skreija	MTH-BSU	2	—	—	—
49	Herve Boursaud / Edouard Chereau	KTM-VMC	1	—	—	—
50	Guillaume Martin / Jacques Pilleir	Zabel-VMC	1	—	—	—
