Name	Species	Overview	Introduced	Feral	Threat level
Cane toad	Bufo marinus	Cane toads in Australia	1935	No	Extreme
Red Fox	Vulpes vulpes	Feral foxes in Australia	1855	No	Extreme
European Rabbit	Oryctolagus cuniculus	Rabbits in Australia	1854	No	High
Dromedary Camel	Camelus dromedarius	Australian feral camel	1841	Yes	Medium to high
Water Buffalo	Bubalus bubalis	Water Buffalo	Between 1824 and 1849	Yes	Medium
Feral goat	Capra hircus	Feral goats in Australia	1840	Yes	High
Feral cat	Felis catus	Cats in Australia	c. 1838	Yes	High to extreme
Brumby	Equus ferus caballus	Brumby	1788	Yes	Medium to high
Feral donkey	Equus asinus	Feral donkeys in Australia	1866	Yes	Medium to high
Feral pig	Sus scrofa	Feral pig	1788	Yes	High
Feral deer	Dama dama , Rusa timorensis and Axis axis	Feral deer	19th century	Yes	Medium to High
