Year	Title	Singapore 987FM Top Position	Singapore Power98 Top Position	Album
2004	I Want You	1	—	So Much More Inside
2005	Runaway	7	—	So Much More Inside
2005	Good Time	17	—	So Much More Inside
2006	Love In New Wave	1	—	Hip City
2007	Hello	8	—	Hip City
2007	All The World (Feat. Rivermaya)	—	—	Hip City
2007	We're Not Made In The USA	—	—	Hip City
2008	Everybody's Here	—	—	(Single)
2008	Save Our Souls	—	—	We Satellites
2008	Hail To The Friends	—	—	We Satellites
2009	Faces	—	—	We Satellites
2009	Californication	—	—	(On National Day 2009 Track List)
