Draft	Round	Pick	Player	Nationality
1980	1	13	Denis Cyr	Canada
1980	2	31	Tony Curtale	United States
1980	2	32	Kevin LaVallee	Canada
1980	2	39	Steve Konroyd	Canada
1980	4	76	Marc Roy	Canada
1980	5	97	Randy Turnbull	Canada
1980	6	118	John Multan	Canada
1980	7	139	Dave Newsom	Canada
1980	8	160	Claude Drouin	Canada
1980	9	181	Hakan Loob	Sweden
1980	10	202	Steven Fletcher	Canada
1981	1	15	Al MacInnis	Canada
1981	3	56	Mike Vernon	Canada
1981	4	78	Peter Madach	Sweden
1981	5	99	Mario Simioni	Canada
1981	6	120	Todd Hooey	Canada
1981	7	141	Rick Heppner	United States
1981	8	162	Dale DeGray	Canada
1981	9	183	George Boudreau	United States
1981	10	204	Bruce Eakin	Canada
1982	2	29	Dave Reierson	Canada
1982	3	51	Jim Laing	United States
1982	4	65	Dave Meszaros	Canada
1982	4	72	Mark Lamb	Canada
1982	5	93	Lou Kiriakou	Canada
1982	6	114	Jeff Vaive	Canada
1982	6	118	Mats Kihlstrom	Sweden
1982	7	135	Brad Ramsden	Canada
1982	8	156	Roy Myllari	Canada
1982	9	177	Ted Pearson	Canada
1982	10	198	Jim Uens	Canada
1982	11	219	Rick Erdall	United States
1982	12	240	Dale Thompson	Canada
1983	1	13	Dan Quinn	Canada
1983	3	51	Brian Bradley	Canada
1983	3	55	Perry Berezan	Canada
1983	4	66	John Bekkers	Canada
1983	4	71	Kevan Guy	Canada
1983	4	77	Bill Claviter	United States
1983	5	91	Igor Liba	Slovakia
1983	6	111	Grant Blair	Canada
1983	7	131	Jeff Hogg	Canada
1983	8	151	Chris MacDonald	Canada
1983	9	171	Rob Kivell	Canada
1983	10	191	Tom Pratt	United States
1983	11	211	Jaroslav Benak	Czech Republic
1983	12	231	Sergei Makarov	Russia
1984	1	12	Gary Roberts	Canada
1984	2	33	Ken Sabourin	Canada
1984	2	38	Paul Ranheim	United States
1984	4	75	Petr Rosol	Czech Republic
1984	5	96	Joel Paunio	Finland
1984	6	117	Brett Hull	United States
1984	7	138	Kevan Melrose	Canada
1984	8	159	Jiri Hrdina	Czech Republic
1984	9	180	Gary Suter	United States
1984	10	200	Petr Rucka	Czech Republic
1984	11	221	Stefan Jonsson	Sweden
1984	12	241	Rudolf Suchanek	Czech Republic
1985	1	17	Chris Biotti	United States
1985	2	27	Joe Nieuwendyk	Canada
1985	2	38	Jeff Wenaas	Canada
1985	3	59	Lane MacDonald	United States
1985	4	80	Roger Johansson	Sweden
1985	5	101	Esa Keskinen	Finland
1985	6	122	Tim Sweeney	United States
1985	7	143	Stu Grimson	Canada
1985	8	164	Nate Smith	United States
1985	9	185	Darryl Olsen	Canada
1985	10	206	Peter Romberg	Germany
1985	11	227	Alexander Kozhevnikov	Russia
1985	12	248	Bill Gregoire	Canada
1986	1	16	George Pelawa	United States
1986	2	37	Brian Glynn	Germany
1986	4	79	Tom Quinlan	United States
1986	5	100	Scott Bloom	United States
1986	6	121	John Parker	United States
1986	7	142	Rick Lessard	Canada
1986	8	163	Mark Olsen	United States
1986	9	184	Scott Sharples	Canada
1986	10	205	Doug Pickel	Canada
1986	11	226	Anders Lindstrom	Sweden
1986	12	247	Antonin Stavjana	Czech Republic
1986	S	4	Steve MacSwain	United States
1987	1	19	Bryan Deasley	Canada
1987	2	25	Stephane Matteau	Canada
1987	2	40	Kevin Grant	Canada
1987	3	61	Scott Mahoney	Canada
1987	4	70	Tim Harris	Canada
1987	5	103	Tim Corkery	Canada
1987	6	124	Joe Aloi	Canada
1987	7	145	Peter Ciavaglia	United States
1987	8	166	Theoren Fleury	Canada
1987	9	187	Mark Osiecki	United States
1987	10	208	Bill Sedergren	United States
1987	11	229	Peter Hasselblad	Sweden
1987	12	250	Magnus Svensson	Sweden
1987	S	4	Peter Lappin	United States
1988	1	21	Jason Muzzatti	Canada
1988	2	42	Todd Harkins	United States
1988	4	84	Gary Socha	United States
1988	5	85	Tomas Forslund	Sweden
1988	5	90	Scott Matusovich	United States
1988	6	126	Jonas Bergqvist	Sweden
1988	7	147	Stefan Nilsson	Sweden
1988	8	168	Troy Kennedy	Canada
1988	9	189	Brett Petersen	United States
1988	10	210	Guy Darveau	Canada
1988	11	231	Dave Tretowicz	United States
1988	12	252	Sergei Pryakhin	Russia
1988	S	26	Jerry Tarrant	United States
1989	2	24	Kent Manderville	Canada
1989	2	42	Ted Drury	United States
1989	3	50	Veli-Pekka Kautonen	Finland
1989	3	63	Corey Lyons	Canada
1989	4	70	Robert Reichel	Czech Republic
1989	4	84	Ryan O'Leary	United States
1989	5	105	Toby Kearney	United States
1989	7	147	Alex Nikolic	Canada
1989	8	168	Kevin Wortman	United States
1989	9	189	Sergei Gomolyako	Russia
1989	10	210	Dan Sawyer	United States
1989	11	231	Alexander Yudin	Russia
1989	12	252	Kenneth Kennholt	Sweden
1989	S	26	Shawn Heaphy	Canada
1990	1	11	Trevor Kidd	Canada
1990	2	26	Nicolas Perreault	Canada
1990	2	32	Vesa Viitakoski	Finland
1990	2	41	Etienne Belzile	Canada
1990	3	62	Glen Mears	United States
1990	4	83	Paul Kruse	Canada
1990	6	125	Chris Tschupp	United States
1990	7	146	Dmitri Frolov	Russia
1990	8	167	Shawn Murray	United States
1990	9	188	Michael Murray	United States
1990	10	209	Rob Sumner	Canada
1990	12	251	Leo Gudas	Czech Republic
1990	S	24	Lyle Wildgoose	Canada
1991	1	19	Niklas Sundblad	Sweden
1991	2	41	Francois Groleau	Canada
1991	3	52	Sandy McCarthy	Canada
1991	3	63	Brian Caruso	Canada
1991	4	85	Steve Magnusson	United States
1991	5	107	Jerome Butler	United States
1991	6	129	Bobby Marshall	Canada
1991	7	140	Matt Hoffman	United States
1991	7	151	Kelly Harper	Canada
1991	8	173	David St. Pierre	Canada
1991	9	195	David Struch	Canada
1991	10	217	Sergei Zolotov	Russia
1991	11	239	Marko Jantunen	Finland
1991	12	261	Andrei Trefilov	Russia
1991	S	25	Dean Larson	Canada
1992	1	6	Cory Stillman	Canada
1992	2	30	Chris O'Sullivan	United States
1992	3	54	Mathias Johansson	Sweden
1992	4	78	Robert Svehla	Slovakia
1992	5	102	Sami Helenius	Finland
1992	6	126	Ravil Yakubov	Russia
1992	6	129	Joel Bouchard	Canada
1992	7	150	Pavel Rajnoha	Czech Republic
1992	8	174	Ryan Mulhern	United States
1992	9	198	Brandon Carper	United States
1992	10	222	Jonas Hoglund	Sweden
1992	11	246	Andrei Potaichuk	Russia
1992	S	6	Jamie O'Brien	United States
1993	1	18	Jesper Mattsson	Sweden
1993	2	44	Jamie Allison	Canada
1993	3	70	Dan Tompkins	United States
1993	4	95	Jason Smith	Canada
1993	4	96	Marty Murray	Canada
1993	5	121	Darryl LaFrance	Canada
1993	5	122	John Emmons	United States
1993	6	148	Andreas Karlsson	Sweden
1993	8	200	Derek Sylvester	United States
1993	10	252	German Titov	Russia
1993	11	278	Burke Murphy	Canada
1994	1	19	Chris Dingman	Canada
1994	2	45	Dmitri Ryabkin	Russia
1994	3	77	Chris Clark	United States
1994	4	91	Ryan Duthie	Canada
1994	4	97	Johan Finnstrom	Sweden
1994	5	107	Nils Ekman	Sweden
1994	5	123	Frank Appel	Germany
1994	6	149	Patrik Haltia	Sweden
1994	7	175	Ladislav Kohn	Czech Republic
1994	8	201	Keith McCambridge	Canada
1994	9	227	Jorgen Jonsson	Sweden
1994	10	253	Mike Peluso	United States
1994	11	279	Pavel Torgayev	Russia
1995	1	20	Denis Gauthier	Canada
1995	2	46	Pavel Smirnov	Russia
1995	3	72	Rocky Thompson	Canada
1995	4	98	Jan Labraaten	Sweden
1995	6	150	Clarke Wilm	Canada
1995	7	176	Ryan Gillis	Canada
1995	9	233	Steve Shirreffs	United States
1996	1	13	Derek Morris	Canada
1996	2	39	Travis Brigley	Canada
1996	2	40	Steve Begin	Canada
1996	3	73	Dmitri Vlasenkov	Russia
1996	4	89	Toni Lydman	Finland
1996	4	94	Christian Lefebvre	Canada
1996	5	122	Josef Straka	Czech Republic
1996	8	202	Ryan Wade	Canada
1996	9	228	Ronald Petrovicky	Slovakia
1997	1	6	Daniel Tkaczuk	Canada
1997	2	32	Evan Lindsay	Canada
1997	2	42	John Tripp	Canada
1997	2	51	Dmitry Kokorev	Russia
1997	3	60	Derek Schultz	Canada
1997	3	70	Erik Andersson	Sweden
1997	4	92	Chris St. Croix	United States
