Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Aberavon Green Stars RFC	22	20	0	2	760	252	115	31	16	0	96
Taibach RFC	22	17	0	5	585	339	70	49	10	1	79
Vardre RFC	22	14	0	8	536	337	66	43	8	6	70
Pyle RFC	22	14	0	8	469	339	69	43	8	2	66
Pontardawe RFC	22	14	0	8	521	439	64	56	5	3	64
Glyncorrwg RFC	22	13	0	9	446	396	64	43	8	3	63
Abercrave RFC	22	9	0	13	445	451	58	56	6	7	49
Ystradgynlais RFC	22	8	0	14	357	506	46	67	6	6	44
Maesteg Celtic RFC	22	8	1	13	389	524	47	66	3	4	41
Porthcawl RFC	22	7	2	13	342	638	38	90	3	3	38
Tonna RFC	22	3	1	18	340	645	40	92	3	5	22
Resolven RFC	22	3	0	19	254	578	34	75	2	6	20
