Race	Circuit	Date	Pole position	Fastest lap	Winning driver	Constructor	Tyre	Report
South African Grand Prix	Kyalami	1 March	Jack Brabham	Jackie Stewart	Jackie Stewart	Matra - Ford	D	Report
Spanish Grand Prix	Montjuïc	4 May	Jochen Rindt	Jochen Rindt	Jackie Stewart	Matra - Ford	D	Report
Monaco Grand Prix	Monaco	18 May	Jackie Stewart	Jackie Stewart	Graham Hill	Lotus - Ford	F	Report
Dutch Grand Prix	Zandvoort	21 June	Jochen Rindt	Jackie Stewart	Jackie Stewart	Matra - Ford	D	Report
French Grand Prix	Charade	6 July	Jackie Stewart	Jackie Stewart	Jackie Stewart	Matra - Ford	D	Report
British Grand Prix	Silverstone	19 July	Jochen Rindt	Jackie Stewart	Jackie Stewart	Matra - Ford	D	Report
German Grand Prix	Nürburgring	3 August	Jacky Ickx	Jacky Ickx	Jacky Ickx	Brabham - Ford	G	Report
Italian Grand Prix	Monza	7 September	Jochen Rindt	Jean-Pierre Beltoise	Jackie Stewart	Matra - Ford	D	Report
Canadian Grand Prix	Mosport Park	20 September	Jacky Ickx	Jacky Ickx Jack Brabham	Jacky Ickx	Brabham - Ford	G	Report
United States Grand Prix	Watkins Glen	5 October	Jochen Rindt	Jochen Rindt	Jochen Rindt	Lotus - Ford	F	Report
Mexican Grand Prix	Hermanos Rodriguez	19 October	Jack Brabham	Jacky Ickx	Denny Hulme	McLaren - Ford	G	Report
