Driver	Constructor	Laps	Time/Retired	Grid
Carlos Pace	Brabham - Ford	40	1:44:41.17	6
Emerson Fittipaldi	McLaren - Ford	40	+ 5.79	2
Jochen Mass	McLaren - Ford	40	+ 26.66	10
Clay Regazzoni	Ferrari	40	+ 43.28	5
Niki Lauda	Ferrari	40	+ 1:01.88	4
James Hunt	Hesketh - Ford	40	+ 1:05.12	7
Mario Andretti	Parnelli - Ford	40	+ 1:06.81	18
Carlos Reutemann	Brabham - Ford	40	+ 1:39.62	3
Jacky Ickx	Lotus - Ford	40	+ 1:51.84	12
John Watson	Surtees - Ford	40	+ 2:29.60	13
Jacques Laffite	Williams - Ford	39	+ 1 Lap	11
Graham Hill	Lola - Ford	39	+ 1 Lap	20
Wilson Fittipaldi	Fittipaldi - Ford	39	+ 1 Lap	21
Rolf Stommelen	Lola - Ford	39	+ 1 Lap	23
Ronnie Peterson	Lotus - Ford	38	+ 2 laps	16
Jean-Pierre Jarier	Shadow - Ford	32	Fuel System	1
Patrick Depailler	Tyrrell - Ford	31	Suspension	9
Tom Pryce	Shadow - Ford	31	Accident	14
Arturo Merzario	Williams - Ford	24	Fuel System	11
Mark Donohue	Penske - Ford	22	Handling	15
Mike Wilds	BRM	22	Electrical	22
Jody Scheckter	Tyrrell - Ford	18	Oil leak	8
Vittorio Brambilla	March - Ford	1	Engine	17
