Date	Tournament	Location	Winner	Score	1st prize ( $ )
Jan 9	Mercedes Championships	California	Phil Mickelson (4)	276 (–12)	180,000
Jan 16	United Airlines Hawaiian Open	Hawaii	Brett Ogle (2)	269 (–19)	216,000
Jan 23	Northern Telecom Open	Arizona	Andrew Magee (4)	270 (–18)	198,000
Jan 30	Phoenix Open	Arizona	Bill Glasson (6)	268 (–16)	216,000
Feb 6	AT&T Pebble Beach National Pro-Am	California	Johnny Miller (25)	281 (–7)	225,000
Feb 13	Nissan Los Angeles Open	California	Corey Pavin (11)	271 (–13)	180,000
Feb 20	Bob Hope Chrysler Classic	California	Scott Hoch (5)	334 (–26)	198,000
Feb 27	Buick Invitational of California	California	Craig Stadler (11)	268 (–20)	198,000
Mar 6	Doral-Ryder Open	Florida	John Huston (3)	274 (–14)	252,000
Mar 13	Honda Classic	Florida	Nick Price (10)	276 (–8)	198,000
Mar 20	Nestle Invitational	Florida	Loren Roberts (1)	275 (–13)	216,000
Mar 27	The Players Championship	Florida	Greg Norman (14)	264 (–24)	450,000
Apr 3	Freeport-McMoRan Classic	Louisiana	Ben Crenshaw (18)	273 (–15)	216,000
Apr 10	Masters Tournament	Georgia	José María Olazábal (3)	279 (–9)	360,000
Apr 17	MCI Heritage Golf Classic	South Carolina	Hale Irwin (20)	266 (–18)	225,000
Apr 24	KMart Greater Greensboro Open	North Carolina	Mike Springer (1)	275 (–13)	270,000
May 1	Shell Houston Open	Texas	Mike Heinen (1)	272 (–16)	234,000
May 8	BellSouth Classic	Georgia	John Daly (3)	274 (–14)	216,000
May 15	GTE Byron Nelson Golf Classic	Texas	Neal Lancaster (1)	132 (–9)	216,000
May 22	Memorial Tournament	Ohio	Tom Lehman (1)	268 (–20)	270,000
May 30	Southwestern Bell Colonial	Texas	Nick Price (11)	266 (–14)	252,000
Jun 5	Kemper Open	Maryland	Mark Brooks (4)	271 (–13)	234,000
Jun 12	Buick Classic	New York	Lee Janzen (4)	268 (–16)	216,000
Jun 20	U.S. Open	Pennsylvania	Ernie Els (1)	279 (–5)	320,000
Jun 26	Canon Greater Hartford Open	Connecticut	David Frost (9)	268 (–12)	216,000
Jul 3	Motorola Western Open	Illinois	Nick Price (12)	277 (–11)	216,000
Jul 10	Anheuser-Busch Golf Classic	Virginia	Mark McCumber (8)	267 (–17)	198,000
Jul 17	Deposit Guaranty Golf Classic	Mississippi	Brian Henninger (1)	135 (–9)	126,000
Jul 17	British Open	Scotland	Nick Price (13)	268 (–12)	178,200
Jul 24	New England Classic	Massachusetts	Kenny Perry (2)	268 (–16)	180,000
Jul 31	Federal Express St. Jude Classic	Tennessee	Dicky Pride (1)	267 (–17)	225,000
Aug 7	Buick Open	Michigan	Fred Couples (11)	270 (–18)	198,000
Aug 14	PGA Championship	Oklahoma	Nick Price (14)	269 (–11)	310,000
Aug 21	Sprint International	Colorado	Steve Lowery (1)	35 ( Stableford )	252,000
Aug 28	NEC World Series of Golf	Ohio	José María Olazábal (4)	269 (–15)	360,000
Sep 4	Greater Milwaukee Open	Wisconsin	Mike Springer (2)	268 (–16)	180,000
Sep 11	Bell Canadian Open	Canada	Nick Price (15)	275 (–13)	234,000
Sep 18	B.C. Open	New York	Mike Sullivan (3)	266 (–18)	162,000
Sep 25	Hardee's Golf Classic	Illinois	Mark McCumber (9)	265 (–15)	180,000
Oct 2	Buick Southern Open	Georgia	Steve Elkington (4)	200 (–16)	144,000
Oct 9	Walt Disney World/Oldsmobile Classic	Florida	Rick Fehr (2)	269 (–19)	198,000
Oct 16	Texas Open	Texas	Bob Estes (1)	265 (–19)	180,000
Oct 23	Las Vegas Invitational	Nevada	Bruce Lietzke (13)	332 (–28)	270,000
Oct 30	The Tour Championship	California	Mark McCumber (10)	274 (–10)	540,000
